Original Description,Synthesized Descritpion,Permission,,
READ CALENDAR : To show user schedule in application,read calendar and you can share your calendar with your friends,CALENDAR,,
Appointments are retrieved from your different Google calendars,you can read calendar events and to share it,CALENDAR,,
A simple yet useful calendar app for Persian (Jalali) calendar system-sync with Google Calendars and show events,read your calendar and calendar events,CALENDAR,,
This application implements camera function to take photos,use your camera to take pictures with your device camera,CAMERA,,
This application implements camera function to take videos.,you can record video use your device camera,CAMERA,,
Just walk around the hotel and point your device's camera at the piece of art you'd like to learn more about,this app use camera permission to take pictures,CAMERA,,
Custom camera to help selecting the item on the picture,app can use camera of your camera and you can select camera and camera,CAMERA,,
These fields can be opened in barcode scanner or camera as soon as they are focused,this app uses camera to scan qr code and barcode,CAMERA,,
Select your image from gallery or take a picture using camera.,take photo with your camera or take from gallery,CAMERA,,
Can choose an image from the gallery or from the camera.,open camera to take photo or take from phone gallery,CAMERA,,
Take a selfie or Capture a picture with Camera or Select your photo from gallery Save and share the pictures with your friends through social media networks,app use use camera to take pictures by camera or choose photo from gallery you can can save image to device gallery and share with your contacts,CAMERA,,
"Choose a photo from your gallery or take it with the camera of your device, select a frame and generate your photo ",open camera to take pictures or choose image from phone gallery,CAMERA,,
"Use camera to take pictures, share your photo from gallery or taken from camera.",take photo with your camera or take from gallery,CAMERA,,
"Alternatively they can add photos from the app, using the Smartphone?€?s camera at the destination ",access device camera,CAMERA,,
The camera on your device is used to scan barcodes and look up item information,this app use camera to scan qr code you can scan barcode using camera,CAMERA,,
"Taking selfies, edit photos with different effects. ",take photo with your camera you can add effect and filter,CAMERA,,
Capture photos and videos in high resolution HD quality,you can take pictures with your device camera,CAMERA,,
Capture videos in high resolution HD quality,record videos using camera on your device,CAMERA,,
select photo from gallery or from phone/camera and apply various effects,take photos with your camera and effects and you can share it with friends,CAMERA,,
permissions for photo-taking: using camera to take photos and selfies.,you can take photo selfie with the the camera,CAMERA,,
take pictures,take photo with your camera or take from gallery,CAMERA,,
shoot videos and snapshots,you can use camera to record video,CAMERA,,
"May be used as a coarse stroboscope, with limitations due to device hardware, on devices that support fast turning on/off of the camera flash ",access camera to use flash light of your camera,CAMERA,,
Record videos with your camera,this app uses camera permission to record video with your device camera,CAMERA,,
Take photos with your camera,you can take pictures with your camera,CAMERA,,
Select a photo from phone gallery or take picture using the phone camera,take photo with your camera or take from gallery,CAMERA,,
"Make selfies or photos with the front or rear camera, edit photos.",select camera you can take pictures using use your device camera,CAMERA,,
"Take, select, and edit your pictures.",take photos with device camera and effects,CAMERA,,
Tap to take a photo,you can take photo with your device camera,CAMERA,,
press and hold for video ,this app uses camera permission to record video,CAMERA,,
Can choose an image from the gallery or taken from the camera.,open camera to take photo with your camera or select from gallery,CAMERA,,
Barcode scanning with built-in camera supported,you can use camera to scan barcode or qr code for scanning,CAMERA,,
Take better photos is one of the best selfie camera app with multiple features,take pictures using device camera,CAMERA,,
This app need access to your camera.,the app can use camera permission,CAMERA,,
"Take beautiful selfies anytime, anywhere by applying filters and that too in silent mode",you can take pictures using your device camera,CAMERA,,
Directly import photo from gallery or quick access from camera for 3D text,choose photo from device gallery you can take pictures with with camera device camera,CAMERA,,
"Open the application, press ""Start"", and point the camera.",this app access device camera,CAMERA,,
"Capture picture with camera, Calibrate, Measure in different modes ",take photo with your camera,CAMERA,,
Select photo from your phone gallery or take photo by using the camera,take photo with your camera or take from gallery,CAMERA,,
"Take photos, selfies, portrait using device camera. ",take pipctures from gallery or take from camera,CAMERA,,
Open camera to have a live chat with your friends.,the app uses camera permission to start video,CAMERA,,
Use camera and scan QR code.,you can scan barcode with camera using camera,CAMERA,,
"This app is using the device camera to take photographs and add colors, filters and effects",take photo with your camera you can add effect filter and save photo to your gallery,CAMERA,,
Use your camera to take pictures.,take photo with your camera or take from gallery,CAMERA,,
Taking picture of your homework using camera device. Upload the photos.,the app uses camera permission to take pictures,CAMERA,,
"Choose your tattoo design, take a picture and check it out inside app gallery.",take photo with your camera,CAMERA,,
Take pictures using your device camera and apply different effects.,take photos with device camera and effects,CAMERA,,
Open camera to scan.,you can scan the qr in the app with camera for scanning,CAMERA,,
Edit photos from gallery or photos taken from camera.,open camera to take photo and take photo to to gallery,CAMERA,,
Open camera and Simply scan the barcode of a product.,this app use camera permission to use camera you can scan barcode with your camera,CAMERA,,
"Decorate your photos with these incredible frames, choose a photo from the gallery or take a photow ith the camera, then apply the frame ,effects, sticker and text.",take photo with your camera or take from gallery,CAMERA,,
"Whether you use your front or back camera, you can shoot the best pictures and make them even better.",the app will use camera front camera of your device,CAMERA,,
capture photo from camera or choose from gallery.,take photo with your camera or take from gallery,CAMERA,,
"Simply open the app and put the camera in front of the focal point of screen, scan the QR code. ",this app use camera permission you can open camera scan qr code or barcode,CAMERA,,
Use camera to scan QR code.,you can scan qr code using camera,CAMERA,,
QR code reader is designed with the permission of the camera to scan.,this app uses camera to scan qr code or barcode with camera,CAMERA,,
You can have video chat with your friends and family members.,app will use camera permission you use camera start video chat,CAMERA,,
QR code reader is designed with the permission of the camera to scan QR code.,open camera of your camera you can use scan qr code or barcode,CAMERA,,
Scan product QR code or barcode using camera on your phone.,access device camera you can use scan qr code and barcode,CAMERA,,
you turn on the app then watch QR code or Barcode by camera,this app use camera permission you can open camera scan qr code or barcode,CAMERA,,
This app requires camera to provide you intruder selfie functionality and take photos of intruders.,this app access camera permission to take pictures,CAMERA,,
take photos using the phone or tablet camera,take pictures from gallery or to take pictures with camera,CAMERA,,
Make your life simple by scanning cost documents,you can scan the files in your phone gallery,CAMERA,,
The smartphone camera captures a picture through single vision or progressive lenses and the app computes the refractive data in seconds,take picture with camera,CAMERA,,
"Go ahead, take a Picture alone or accompanied and place within the selected background ",open camera to take pictures,CAMERA,,
"Quickly measure the heights of buildings, trees, stomp rocket flights, etc, by first pointing the camera at the objects ",this app use camera permission to use camera,CAMERA,,
With LiveTrip Traveller you can send live messages and photos during every journey via 3G/4G/WIFI,take photo or video with camera,CAMERA,,
Barcode scanner,this app use camera to scan qr code or barcode,CAMERA,,
Use our app to scan the barcode and order from your phone,you can scan qr code or barcode with camera,CAMERA,,
Use our app to scan the barcode and order from your phone,you can scan the qr code with your phone,CAMERA,,
Signature and image capture Bar codes,the app uses camera permission to take photo,CAMERA,,
"scan functionality for QR-codes, scan QR-Codes on the visitor badges and import this data in your contacts ",scan the qr code in your phone,CAMERA,,
Create a phenomenal collage out of your private photos If you are a person who takes a lot of pictures and likes making selfies,the app use use your camera,CAMERA,,
Start scanning your tickets today with ScanFastInstall the app to turn your Android device into a fully functional ticket scanneryou'll be ready to verify barcodes on all types of tickets for your events,the app uses camera permission,CAMERA,,
Voice and video calls to mobile devices and computers,this app uses camera permission to use camera for video call,CAMERA,,
"Bring LumiSpa to life with this cool augmented reality appscan a LumiSpa AR image, and watch as a 3D projection of the new ageTry snapping photos or recording video of you ?€?using?€? your new digital device?€?all in the app!",access your camera to take photo or video,CAMERA,,
Take new photos of receipts or choose existing photos,open camera to take photo or select photo from phone gallery,CAMERA,,
Anarkali Dress Photo Suit is photography application to set different Anarkali Dress on your face by live capturing OR per-captured photos,the app uses camera of your camera,CAMERA,,
you can record this lecture or take some pictures or even adding notes or taking some videos,take photo or video using camera of your device,CAMERA,,
"Users have one identify across all services, voice, video and Instant Messaging & PresenceVoice and video calls are enhanced with the highest quality voice ",you can use your camera to start video call,CAMERA,,
Automatic scan of voucher's QR code,use camera to scan qr code or barcode,CAMERA,,
Login via QR CodeLogin effortlessly by scanning the QR code,the app use use the camera permission,CAMERA,,
Flashlight on call is a free to download smart app which will blink flash light on callEven when your mobile mobile is in silent mode you will be intimated about a call through flashlight blink by using this flashlight on call,access camera of your device camera to use flash light of your camera,CAMERA,,
Take or upload a picture of a receipt and submit for a new or existing claim,take pictures using device camera,CAMERA,,
Place it over photo from gallery or shot a new one,take pictures using device camera or choose from gallery,CAMERA,,
take a photo or select from image gallery,take photo selfie with the camera of your camera and you can take image from gallery,CAMERA,,
AR Christmas app lets you experience the season of love through Augmented RealityIt makes the traditional Christmas card comes alive,this app uses camera permission to use camera,CAMERA,,
"The app allows you the parent our caregiver to capture imagesYou simply take a picture of an object, place, or person and apply the appropriate text ",take pictures using device camera or choose from gallery,CAMERA,,
"Collage Art brings you a variety of awesome features to help you create beautiful works of art from your photosUse a wide range of features and effects to spice up your picturesAdd emoji face stickers, love stickers, friendship stickers and more! ",take pictures with your device camera,CAMERA,,
QR code scanner and passcode features to easily connect with new communities and events,you can use camera camera to scan qr code,CAMERA,,
"You can make a video call for free with the most used face call apps such as Whatsapp, Messenger, Skype, Bigo Live, Imo, Kik, Tango, Viber, etc ",this app uses camera permission,CAMERA,,
also allows you to snap a photo to add to your service request,the app uses camera permission to take a picture,CAMERA,,
"You simply snap a picture, enter a few details and you?€?re doneJust snap a picture and sell it on Pxsell ",take pictures with device camera and camera,CAMERA,,
QR code verification tool for Folio,use camera to use you can scan qr code using camera,CAMERA,,
Deploy services on new computers by simply scanning a QR code with this app on the local computer,open camera you can use use to scan qr code or barcode,CAMERA,,
Take a beautiful selfie of you or Choose a photo of anyone else you want from gallery,take photo or selfie with camera or select photo from your phone gallery,CAMERA,,
20+ well-designed video styles for you to edit and record unique moment,this app uses camera permission,CAMERA,,
The app allows you to scan a QR code that matches a label for your business,open camera you can can scan qr code and barcode using camera of camera,CAMERA,,
KalTicket Pro allows your ticket salesperson to scan tickets with QR code at the entrance of cinemas or theaters,can scan qr code with the the camera,CAMERA,,
It is an easy and fun way to enhance your personal photos and Changer yourself in dancer,save photo to gallery,CAMERA,,
Transcribe written notes ?€? from a photo of your padCreate Outlook contacts ?€? from photos of business cardsDo expense reports ?€? from photos of receipts and a spoken description of the tripEnter records in a database ?€? from a photo of a form,this app uses camera permission to take photo,CAMERA,,
"Even better, its high-speed HD video and audio chats bring more life into your conversations with your friend(s) ",start video chat using device camera of your camera,CAMERA,,
Upload photos,this app uses camera permission to take photo,CAMERA,,
Augmented reality is about to get augmented,access device camera to activate,CAMERA,,
"We also collect images, signatures, audio, dates and times, QR codes as well as many advanced feature rich enhancements that are being added by constant development ",this app access to your device camera,CAMERA,,
Type or scan a VIN in order to stock in off lease inventory,scan the qr code or barcode with device camera,CAMERA,,
"you?€?ll be connected through a secure, video chat with a licensed, local doctor ",the app need camera permission to use use video chat,CAMERA,,
"Modify flashlight notification app for android with deferent colors white, purple, pink, Yellow, green, blue, redNow available flashlight app for sms texting and calling ",the app uses camera permission to use flash light of your camera,CAMERA,,
If you love taking pictures with your children and you want to do something special with themChoose a photograph from your device or take a new one,take photo with camera or take from phone gallery,CAMERA,,
Parked Car Finder QR Code and VIN Barcode scanner New and pre-owned inventory,this app uses camera to scan qr code or barcode with camera camera camera,CAMERA,,
Take or upload pictures to report and prove issues,take photo with camera or take from phone gallery,CAMERA,,
show your creative side of taking the pictures with our quality frames,open camera to take pictures you can set frames to photo,CAMERA,,
Search by scanning serial bar code,open open camera to scan qr code and barcode using camera,CAMERA,,
Join quests and compete with other players to photograph animals and plants in the wild,this app uses camera camera permission,CAMERA,,
SCAN: Featuring NFC and QR code scanning with full traceability of the parts from manufacturing,the app use camera use camera permission,CAMERA,,
[AR Features]Summon your Heroes to the real world!,the app use device camera,CAMERA,,
Recognition of images to access promotions,you can use camera and scan saved photo from phone gallery,CAMERA,,
scan barcodes of inspected products to trace them back take and upload photos to integrate them into your inspection reports,the app use camera you can scan barcode with camera you can can open camera to take photo,CAMERA,,
"Android Enterprise Enrollment using QR Code, NFC or HashcodeProprietary Non-GMS Enrollment (QR-code based) ",you can scan qr code and barcode with camera,CAMERA,,
To place a business-quality video or voice-only call into a business from your Android deviceIt's that easy to start a face-to-face interaction,the app use camera camera permission,CAMERA,,
Record video and take pictures as a dashcam,open camera to take picture or video,CAMERA,,
"wherever you go, any time and any moment just take pic from camera or import photo from gallery just decorate with this photo frame app ",take photo with camera or take from phone gallery,CAMERA,,
press volumn key to take picutres,this app uses camera permission to take pictures,CAMERA,,
press volumn key to record video,you can record video using device camera and camera,CAMERA,,
A Better Editor & Effects integrated with A Better Camera - Get it now! Capture now - process later,this app uses camera permission you can take photo using camera and set effects on photo,CAMERA,,
the best mirror camera where you can make creative selfies and videos with more than 12 mirror effects,the app use use device camera of your camera,CAMERA,,
"choose a photo from the gallery or take a photo with the camera, then apply the frame that you like and you can save the photo, share with friends or upload to social networks Facebook, Twitter , email etc ",take photo with camera or select photo from phone gallery,CAMERA,,
Select a photo from the gallery or take photos using the phone's camera,you can take pictures with camera or select from phone gallery,CAMERA,,
Secret Video Recorder Record video without notifications,access camera to make video,CAMERA,,
Silent CameraTake pictures in the background or foreground without shutter sound,take pictures with camera and camera,CAMERA,,
[Optional access rights]-Camera / Album????: Used to register and change in-game profile,this app uses camera camera permission,CAMERA,,
Take pictures with vivid colors and rich details,you can can take photos using camera,CAMERA,,
Photo Mission - Wake up and take photo of the registered place to dismiss your alarm,app use camera of your camera to take photo,CAMERA,,
"You point your smartphone camera at the subject, the name of the color is going to find out ",the app uses camera permission to use camera,CAMERA,,
Camera access,the app you use use your camera,CAMERA,,
take pictures and apply amazing effects on it,open camera to take pictures and make effects on photos,CAMERA,,
take videos and apply amazing effects on it,you can take videos with device camera,CAMERA,,
Make snappic with live camera filters or make selfie video with live camera effects,the app uses camera permission to take photos,CAMERA,,
make selfie video with live camera effects,you can record video and with your device camera,CAMERA,,
"You can use your phone as usual, while being able to see the live image of your camera transparently on the entire screen ",the app uses camera permission,CAMERA,,
"Chose your camera shots or photos from your gallery, use photo effects, play with masks and effects and enjoy the result ",you can take photos with your camera or take from your phone gallery,CAMERA,,
"Control Center 12 Gives you access to the Camera,Clock,Screenshot,and more settings.",access your camera of you device camera camera,CAMERA,,
"Shoot or pick your videos/photos/music, Movie Studio automatically turns them into beautifully edited movies, completed in minutes ",this app uses camera permissionn to take photos or videos,CAMERA,,
Camera Color Picker is a very light weight app that uses the camera of your device to capture a color,the app use use camera permission,CAMERA,,
It analyses in real time the camera preview and extracts the color that you are pointing at,this app uses camera permission you can use camera camera,CAMERA,,
this app will help you with its advanced and smart voice selfie and countdown camera features to take some amazing selfies using your voice or a countdown,take selfie using rear camera,CAMERA,,
Dashboard Cam allows the users to record video,this app uses camera and camera to record video,CAMERA,,
Dashboard Cam allows the users to take photo,you can take photo using camera and your device camera,CAMERA,,
"Create a selfie, submit it and talented people from all around the world can draw a portrait of you! ",take pictures from gallery or take from camera,CAMERA,,
Multiple exposures on the single photo for the android camera,the app use camera permission,CAMERA,,
Capture a new image with your camera and apply an amazing photo frame to it!,open camera to take photo with camera,CAMERA,,
"Take a photo, record a video and share with the world!Use the web search to find faces to swap with or use one from the built-in ones such as a statue or a doll face or a masquerade mask ",you can take pictures or videos using device camera,CAMERA,,
Take photos and videos with the professional mode to adjust the scene,take photos with device camera and effects,CAMERA,,
"HD Camera Selfie Camera designed specifically for selfie, with extreme pro effects.",you can take photos with device camera and effects and share it with your friends,CAMERA,,
Features:take picture with front camera take picture with rear camera,take pictures with your device camera,CAMERA,,
Camera : Takes pictures,this app uses camera permission to take pictures,CAMERA,,
MineCam MC Dimensions allows you to take ordinary photos or selfies and add awesome Minecraf effects to them,the app uses camera permission to take photos you can can add effects and filters,CAMERA,,
Record videos,you can take pictures with camera of your device camera,CAMERA,,
take photos,the app uses camera to record video,CAMERA,,
"Turn on your phone camera, your phone will show your background screen from back camera and make your device as transparent screen ",this app use use use camera permission,CAMERA,,
"HD filters Camera is a fully-featured free Camera app, with Quick Snap and HD videos, and offers Photo Sphere, and another creative panorama photo modes ",you can take photo and videos in high resolution,CAMERA,,
"Easy to Shoot professional Camera Effects, Real-time Preview of the beautiful Photo and video filters Effects ",take pictures and videos with device camera,CAMERA,,
Voice Command Mode: take photo by voice command (command is Cheese),this app uses camera permission to take photos,CAMERA,,
Features: Choose Image either from gallery or Camera 20 photo effects to apply or photos,take photo with camera or take from gallery,CAMERA,,
Turn your device into a bright flashlight using your camera Flash,you can use flash light of camera of your camera,CAMERA,,
Convert existing photos and image files to the video file,this app will use camera permission,CAMERA,,
Precious is an application where you can capture your beautiful moments to share them with your friends and families,app will access camera of camera to take pictures,CAMERA,,
"This app takes three pictures with single shutter action. Then, the app automatically select the picture that is the most clear and save it ",the app use camera permission to take photos and save photos to device gallery,CAMERA,,
"Camera support added, to take snapshots of the scenes ",you can take photos with camera,CAMERA,,
Take the photo fun to the next level,this app use camera permission to take pictures,CAMERA,,
Take the photo fun to the next level,app use use camera of your camera you can take photo with camera,CAMERA,,
"If you want to create an original meme, do it by taking a photo with this app",take a photo with your device camera,CAMERA,,
Point the camera at a tag,the app uses camera permission to take pictures,CAMERA,,
Real-time video integrated with Augmented Reality,you can take videos with device camera,CAMERA,,
Scan barcodes for conducting physical inventory,scan barcode or qr code using camera,CAMERA,,
Camera : videotaped the swing motion,the app uses camera permission to take pictures,CAMERA,,
import forms as a photo from your device?€?s camera,take pictures with phone camera or take from gallery,CAMERA,,
This app utilizes the camera to recognize Chess Diagrams in books using optical character recognition (OCR).,this app uses camera permission to take pictures,CAMERA,,
scan the QR-codes of the cards and quickly receive the information,you can scan qr code with phone camera,CAMERA,,
Camera- Take Photo and Video,you can take photo with your device camera,CAMERA,,
Use your camera to capture a photo,take pictures with camera,CAMERA,,
simply point camera to QR or barcode you want to scan and app will automatically detect and scan it,you can scan qr code and barcode with phone camera,CAMERA,,
Perform multiple Task like using Camera,the app will use camera permission,CAMERA,,
Scan Barcode and get best price,you can scan barcode in the phone,CAMERA,,
An Augmented reality sport game that recognize your face on the screen using the front camera of your Phone or tablet,the app uses camera to take pictures,CAMERA,,
Option to capture High Definition videos,record videos using camera on your device,CAMERA,,
switch between front and rear camera,you can use your camera and your device camera,CAMERA,,
Coinoscope mobile application uses phone camera to capture images of coins.,take pictures with camera of your device camera,CAMERA,,
"Run the application in the ""3D animation"" and aim the camera lens towards the image",take photos from gallery or take from camera,CAMERA,,
Scan traditional and collect virtual business cards from QR codes,scan qr code with camera and share it with your friends,CAMERA,,
It includes both recognition of the word (OCR) pointed by your phone camera in selected source language and translation to a set of desired target languages all instantly!,the app uses camera to take pictures,CAMERA,,
Attach Photos from the Device Camera,take pictures with device camera or take from gallery,CAMERA,,
capture photo from camera,take photo from camera or take from phone gallery,CAMERA,,
The integrated communication experience of video calling,the app use camera permission to record video and take pictures,CAMERA,,
Camera will take a pictures after given time interval,the app uses camera permission to take a picture,CAMERA,,
Free tools for you: Flashlight,get flashlight with device camera and open,CAMERA,,
Free tools for you:  QR Scanner,scan qr code in the app and share,CAMERA,,
Image capture for lock screen,take photo from camera or take from phone gallery,CAMERA,,
Click on Video Resume on home page and record your Video resume,you can record videos and take pictures with device camera,CAMERA,,
Select Selfie Camera or Take pics with your camera or select gallery photos,take pictures from gallery or take from camera,CAMERA,,
We offer you fast access to healthcare professionals and Board Certified physicians through audio or video conferencing,this app uses camera permission,CAMERA,,
upload or record the videos of the products in their inventory,take pictures with device camera or you can take from gallery,CAMERA,,
"You can also set camera relative function in setting page, such as flash turn on/off, self timer, special effect, camera resolution...",the app will use camera permission,CAMERA,,
Select your photo from the gallery or Capture a picture with phone camera.,you can take photo with device camera or take from phone gallery,CAMERA,,
just choose a image from your gallery or capture from camera ,take photo from camera or take from phone gallery,CAMERA,,
Camera/Gallery Button: that gives you option to capture a photo from your mobile phone camera and to select any photo from already saved gallery.,you can take pictures from phone gallery or take from camera,CAMERA,,
Just scan your QR code or type your wallet address and start monitoring it.,you can scan the qr code with your phone,CAMERA,,
"Just choose your tattoo design, take a shot and check it out inside app gallery.",take a photo with your device camera,CAMERA,,
You can select images from your gallery or from the camera.,take photos from gallery or take from camera,CAMERA,,
take picture from camera. you can select any photo from gallery,you can take pictures with device camera or to take from gallery and share,CAMERA,,
Select your favorite photo from the gallery or snap a picture using camera.,take photos with your camera or take from phone gallery,CAMERA,,
First choose the frame you like to set your photo. Then select your photo from your gallery or camera.,take pictures with device camera or you can take from gallery,CAMERA,,
Just take a photo from your camera or select the photo from the gallery and start editing,take a photo with your device camera,CAMERA,,
Use your device camera to scan a barcode or QR Code label,scan the qr code in your phone and share it with your friends,CAMERA,,
Toggle camera flashlight to give SOS signals,this app uses camera permission,CAMERA,,
Choose from existing clips or record a new one from phone camera,you can record using camera and your device camera,CAMERA,,
Take your new image with camera ,take photos with your device camera,CAMERA,,
QR Codes scan for more info on all marketing items,scan qr code and share,CAMERA,,
Enhance your photos from many photo sources such as Camera,you can take photos with camera,CAMERA,,
Video transmission The camera will be turned on by default,the app uses camera permission to record video and to take photos,CAMERA,,
Option to Scan the barcode,you can use camera to scan barcode or qr code for scanning,CAMERA,,
Simply take a new picture with your camera or pick a photo from Gallery and create a neat and wonderful photo pencil sketch,take photos with device camera and effects,CAMERA,,
Take a Picture From Camera ,take photos with your camera,CAMERA,,
Photo Shooter is an app that will give you facility to shoot the photo at specific time intervals,take a photo from your gallery or take from camera,CAMERA,,
You can bounce a virtual basketball through the camera via Bounce Ball (AR Basketball),you can take photos with your phone camera,CAMERA,,
Select a Photo from the Gallery or Take Photos using the Phone's Camera*,take a photo from your gallery or take from camera,CAMERA,,
"The D-H Pharmacy application allows our customers to manage their prescriptions including request for prescription refills, refill by scanning your label",scan the qr code and barcode in your phone,CAMERA,,
User can select their photo directly from camera,take pictures from phone gallery or take with camera,CAMERA,,
take photo by device camera,you can take photos with device camera and share it with friends,CAMERA,,
Once you have applied your Battle Tats temporary tattoo simply scan it using the app,you can scan barcode in the phone,CAMERA,,
Use this scanner to get your loyalty points for your mob just focus on the QR code presented,you can scan the qr code with your phone,CAMERA,,
QR code payment advantages: Fast transactions Scan and confirm,scan qr code in the app,CAMERA,,
Collect your photo from the app's camera,take photo from camera or take from gallery,CAMERA,,
Scan any item's barcode anywhere and see its availability in your library,scan the qr code and barcode in your phone,CAMERA,,
Search and Customize thousands of quotes and share customize with different background images from camera,take pictures with device camera or you can take from gallery,CAMERA,,
Get to know them by using our video chat before meeting them,the app uses camera to record video and share it with your friend,CAMERA,,
Laser Level is a level tool which uses the camera combined with the accelerometer giving the user close to perfect measurements of angles,take pictures close device angles or you can take of gallery,CAMERA,,
"MOREARVIE is a free, online, augmented reality application, which, by using the camera of any smart device, displays digital content on your screen within a 30 km radius from the reference point",use the camera to capture the photos or take pictures with camera,CAMERA,,
Record a video  using this video effects creator,the app can record video and take photos with camera,CAMERA,,
" In addition, you can bring your led camera flashlight to the party too",open flashlight from your phone camera and use it,CAMERA,,
"Snap a photo of your homework, and quickly get help with algebra, calculus, geometry, trigonometry, probability, statistics, math, science and more!",the app uses camera permission to take photos,CAMERA,,
Will Find in this application the amazing collection Of Wallpapers and its easy to Save it to your memory,the app uses camera permission to take photos,CAMERA,,
"take picture from your camera, Apply effects and save or share your Photo",you can take a photo with camera or take from gallery and share,CAMERA,,
Access Camera,you can scan it with device camera,CAMERA,,
Take a photo of your face (selfie) and photos of the ID documents that the app will ask for,the app use camera to take a photo,CAMERA,,
Choose the photograph from the camera,you can take pictures from phone gallery or take from camera,CAMERA,,
upload a photo from camera,take photos with device camera or to take from gallery,CAMERA,,
This app platform empowers exhibitors to log leads generated at expos by scanning the badge,scan the qr code in the app and share it with your friends,CAMERA,,
"You can select the service (Cleaning, Public Lighting, gardens, etc
), type of incident to report, and to photograph it",take photos from gallery or take from camera,CAMERA,,
Select photo from your phone gallery or take photo by using the camera,you can select photo from gallery or take pictures with device camera,CAMERA,,
"now select a face, already saved in your gallery or capture it with camera",take a photo with your device camera,CAMERA,,
The Smile Alarm Clock has face recognition feature that turn off the alarm only if you give it a bright sunny smile,the app uses camera permission to take photos,CAMERA,,
take a selfie or Capture a picture with Camera or Select your photo from gallery,take pictures from gallery or take from camera,CAMERA,,
An intelligent smartphone and action camera stabilizer for maximum stabilizatio control photo and video recording with the onboard joystick controls and enable object/face tracking during recording,you can record videos and take pictures with device camera,CAMERA,,
An intelligent smartphone and action camera stabilizer for maximum stabilizatio control photo and video recording with the onboard joystick controls and enable object/face tracking during recording,you can record videos and take pictures with device camera,CAMERA,,
