Permission,Original Description,DecribeCtx-Ctx Descritpion,Checked,DecribeCtx Descritpion,Checked,Code2Vec Descritpion,Checked,User Num
CALENDAR,calendar navigation giving easy access to previous scores and upcoming fixtures,the app read your calendar information,0.0,the app read your calendar information,0.0,the app read your calendar information,0.0,2
CALENDAR,show calendar events in agenda and select which calendars to show,the app can read calendar,0.0,the app can read calendar,0.0,the app can read calendar,0.0,2
CALENDAR,access event and calendar information,access calendar,0.4,access calendar,0.8,access calendar,0.8,5
CALENDAR,add event directly to your device or share them with a friend,add calendar event and share event,0.8,add calendar event and share event,0.8,set calendar of your calendar,0.2,5
CALENDAR,show the school calendar for better time and activity management,access calendar,0.6666666666666666,access to your calendar,0.6666666666666666,send your calendar to calendar and make events,0.6666666666666666,3
CALENDAR,display calendar and schedule of matches,this app uses calendar permission to read calendar,0.3333333333333333,this app uses calendar permission to read calendar,0.3333333333333333,this app uses calendar permission to read calendar,0.3333333333333333,3
CALENDAR,you can add priority events to the personal calendar on your device,write event calendar,0.25,add calendar event,0.5,write event calendar,0.5,4
CALENDAR,the calendar module displays all events occurring in the current week,set calendar of your calendar,0.0,this app uses read calendar permission,0.0,set calendar of your calendar,0.0,1
CALENDAR,calendar sync,access calendar information,0.75,access calendar information,0.75,write event calendar,0.25,4
CALENDAR,make use and manage your calendar,add calendar event,0.6666666666666666,add calendar event,0.6666666666666666,you can send calendar and make events,0.3333333333333333,3
CALENDAR,one tap to create and sync a customer meeting with your calendar,write calendar and share it,0.25,write event calendar,0.75,write event calendar,0.75,4
CALENDAR,view; edit and update your schedules in calendar ,you can use calendar,0.25,this app uses calendar permission read calendar and write calendar,1.0,you can use calendar,0.25,4
CALENDAR,the app will be used to announce important schedule updates and keep you informed throughout the four-day event,you can write to your calendar,0.5,set your calendar to calendar,0.5,set your calendar to calendar,0.5,2
CALENDAR,create and check calendar events,you can read calendar with your device calendar add calendar events to device calendar,0.25,you can read calendar with your device calendar add calendar events to device calendar,0.25,you can send calendar and make events,0.25,4
CALENDAR,access and sync your calendar anytime anywhere,calendar access,0.75,this app access calendar of your device calendar,1.0,write event calendar,0.25,4
CALENDAR,read calendar events you can get the list of calendar events with all details and descriptions,the app uses read calendar permission to read calendar,0,the app uses read calendar permission to read calendar,0,send your calendar to calendar and make events,0,0
CALENDAR,can create calendar entries for birthdays; anniversaries and other events ,add calendar event,1.0,add calendar event,1.0,access your calendar,0.2,5
CALENDAR,making reminder,set calendar of your calendar,0.75,access calendar permission,0.5,set calendar of your calendar,0.75,4
CALENDAR,add special notes to cards and personal reminders to your calendar,the app uses calendar to read calendar,0.0,you can add events to your device calendar,1.0,the app uses calendar to read calendar,0.0,2
CALENDAR,While you can preview events in the a Calendar Store app you need to purchase a yearly subscription to sync to your Android calendars (free 60 minute test available),add add add event to the calendar,0.25,access your calendar,0.25,access your calendar,0.25,4
CALENDAR,Contacts/Calendar; so Offi can route you to your contacts or location from a calendar event; store a connection in your calendar or e-mail it to your friends ,access calendar,0.0,this app will use read calendar permission,1.0,access your calendar,0.2,5
CALENDAR,Add events you are going directly to your mobile calendar,access your calendar,0.16666666666666666,access calendar,0.6666666666666666,access calendar,0.6666666666666666,6
CALENDAR,Make use of the calendar button on the home screen to view and organize your events,read your calendar and calendar events,0.8333333333333334,read your calendar and calendar events,0.8333333333333334,read your calendar and calendar events,0.8333333333333334,6
CALENDAR,In this application; the confirmation of the latest event information and calendars,you can use calendar,0.3333333333333333,set your calendar to calendar,0.0,set your calendar to calendar,0.0,3
CALENDAR,Add school events to your phone's calendar,access calendar,0.2,add events to calendar and add calendar,0.8,access calendar,0.0,5
CALENDAR,Calendar management,calendar access,0.6666666666666666,set calendar of your calendar,0.3333333333333333,set calendar of your calendar,0.3333333333333333,6
CALENDAR,Add school events to your phone's calendar,you can use calendar,0.5,you can also add calendar and add events,0.75,you can use calendar,0.5,4
CALENDAR,WRITE CALENDAR : To write user schedule in android system,write event calendar,0.5,you can send calendar and make events,0.25,you can send calendar and make events,0.25,4
CALENDAR,READ CALENDAR : To show user schedule in application,set calendar of your calendar,0.0,read calendar and you can share your calendar with your friends,1.0,set calendar of your calendar,0.0,2
CALENDAR,Appointments are retrieved from your different Google calendars,write event calendar,0.4,set calendar of your calendar,0.6,set calendar of your calendar,0.6,5
CALENDAR,A simple yet useful calendar app for Persian (Jalali) calendar system-sync with Google Calendars and show events,access your calendar,0.75,send your calendar to calendar and make events,0.25,send your calendar to calendar and make events,0.25,4
CAMERA,This application implements camera function to take photos,use your camera to take pictures with your device camera,0.6,take a photo from camera,0.4,take a photo from camera,0.4,5
CAMERA,This application implements camera function to take videos.,use your camera to take pictures with your device camera,0.6666666666666666,use your camera to take pictures with your device camera,0.6666666666666666,use your camera to take pictures with your device camera,0.6666666666666666,3
CAMERA,Just walk around the hotel and point your device's camera at the piece of art you'd like to learn more about,app uses camera permission,0.0,you can record video use your device camera,1.0,app uses camera permission,0.0,5
CAMERA,Custom camera to help selecting the item on the picture,this app use camera permission to take pictures,0.6666666666666666,this app use camera permission to take pictures,0.6666666666666666,take a photo from your gallery or take a photo from camera,0.0,3
CAMERA,These fields can be opened in barcode scanner or camera as soon as they are focused,take picture with your comera of your camera,0.25,take a photo from your gallery or take a photo from camera,0.75,take a photo from your gallery or take a photo from camera,0.75,4
CAMERA,Select your image from gallery or take a picture using camera.,this app uses camera to scan qr code and barcode,0.0,this app uses camera to scan qr code and barcode,0.0,this app uses camera to scan qr code and barcode,0.0,2
CAMERA,Can choose an image from the gallery or from the camera.,use the camera and take picture,0.25,take photo with your camera or take from gallery,1.0,take the app with camera or take a photo,0.25,4
CAMERA,Take a selfie or Capture a picture with Camera or Select your photo from gallery Save and share the pictures with your friends through social media networks,open camera to take photo,0.5,take a photo from camera,0.6666666666666666,take a photo from camera,0.6666666666666666,6
CAMERA,Choose a photo from your gallery or take it with the camera of your device; select a frame and generate your photo ,open camera to take photo,0.4,app use use camera to take pictures by camera or choose photo from gallery you can can save image to device gallery and share with your contacts,0.8,open camera to take photo,0.2,5
CAMERA,Use camera to take pictures; share your photo from gallery or taken from camera.,the app use camera of your device camera,0,open camera to take pictures or choose image from phone gallery,0,the app use camera of your device camera,0,0
CAMERA,Alternatively they can add photos from the app; using the Smartphone?'?s camera at the destination ,camera access,0.25,take a photo from your gallery or take a photo from camera,1.0,take a photo from your gallery or take a photo from camera,1.0,4
CAMERA,The camera on your device is used to scan barcodes and look up item information,you can use the camera to take pictures,0.6666666666666666,take the app with camera or take a photo,0.0,take the app with camera or take a photo,0.0,3
CAMERA,Taking selfies; edit photos with different effects. ,record videos using camera on your device,0.25,record videos using camera on your device,0.5,record videos using camera on your device,0.5,4
CAMERA,Capture photos and videos in high resolution HD quality,take picture with the camera,1.0,take a photo from camera,0.25,take a photo from camera,0.25,4
CAMERA,Capture videos in high resolution HD quality,open camera to take photo,0.6666666666666666,you can take pictures with your device camera,0.3333333333333333,take the camera or take a photo,0.0,3
CAMERA,select photo from gallery or from phone/camera and apply various effects,take photos from gallery or take photos from camera,0.8,record videos using camera on your device,0.4,take photos from gallery or take photos from camera,0.8,5
CAMERA,permissions for photo-taking: using camera to take photos and selfies.,take photo with your camera or take from gallery,0.75,take photo with your camera or take from gallery,0.75,take photo with your camera or take from gallery,0.75,4
CAMERA,take pictures,take picture with camera and your camera,0.8,you can take photo selfie with the the camera,0.2,take picture with camera and your camera,0.8,5
CAMERA,shoot videos and snapshots,this app uses camera permission,0.4,this app uses camera permission,0.8,this app uses camera permission,0.8,5
CAMERA,May be used as a coarse stroboscope; with limitations due to device hardware; on devices that support fast turning on/off of the camera flash ,you can use camera to record video,0.0,you can use camera to record video,0.0,you can use camera to record video,0.0,3
CAMERA,Record videos with your camera,you can take pictures with your camera,0.8,take a photo from camera,0.6,take a photo from camera,0.6,5
CAMERA,Take photos with your camera,take the camera to take pictures,0.5,this app uses camera permission to record video with your device camera,0.5,take the camera to take pictures,0.5,4
CAMERA,Select a photo from phone gallery or take picture using the phone camera,you can take pictures with your camera,0.16666666666666666,you can take pictures with your camera,0.16666666666666666,you can take pictures with your camera,0.16666666666666666,6
CAMERA,Make selfies or photos with the front or rear camera; edit photos.,take picture with camera and your camera,0.4,take photo with your camera or take from gallery,0.6,take picture with camera and your camera,0.4,5
CAMERA,Take; select; and edit your pictures.,select a photo from gallery or take a photo with the camera,0.8,select camera you can take pictures using use your device camera,0.2,select a photo from gallery or take a photo with the camera,0.8,5
CAMERA,Tap to take a photo,take photos with device camera and effects,0.4,take photos with device camera and effects,0.4,take picture with camera and your camera,0.8,5
CAMERA,press and hold for video ,open camera to take photo,0.75,you can take photo with your device camera,0.5,open camera to take photo,0.75,4
CAMERA,Can choose an image from the gallery or taken from the camera.,this app uses camera permission to record video,0.5,this app uses camera permission to record video,0.5,this app uses camera permission to record video,0.5,6
CAMERA,Barcode scanning with built-in camera supported,open camera to take photo with your camera or select from gallery,0.2,open camera to take photo with your camera or select from gallery,0.2,open camera to take photo with your camera or select from gallery,0.2,5
CAMERA,Take better photos is one of the best selfie camera app with multiple features,you can use camera to scan barcode or qr code for scanning,0.0,you can use camera to scan barcode or qr code for scanning,0.0,you can use camera to scan barcode or qr code for scanning,0.0,6
CAMERA,This app need access to your camera.,you can use the camera to take pictures,0.5,you can use the camera to take pictures,0.5,you can use the camera to take pictures,0.5,2
CAMERA,Take beautiful selfies anytime; anywhere by applying filters and that too in silent mode,the app can use camera permission,0.16666666666666666,the app can use camera permission,0.16666666666666666,the app can use camera permission,0.16666666666666666,6
CAMERA,Directly import photo from gallery or quick access from camera for 3D text,take camera to take the camera,0.2,you can take pictures using your device camera,0.8,take a photo from camera,0.2,5
CAMERA,Open the application; press "Start"; and point the camera.,take photo with your camera,0,choose photo from device gallery you can take pictures with with camera device camera,0,take the camera or take a photo,0,0
CAMERA,Capture picture with camera; Calibrate; Measure in different modes ,take camera to take the camera,1.0,take camera to take the camera,0.0,take camera to take the camera,0.0,2
CAMERA,Select photo from your phone gallery or take photo by using the camera,take photo with your camera,1.0,take photo with your camera,1.0,get camera device of your camera,0.0,3
CAMERA,Take photos; selfies; portrait using device camera. ,the application can use camera and camera,0.8,the application can use camera and camera,0.2,the application can use camera and camera,0.2,5
CAMERA,Open camera to have a live chat with your friends.,take pipctures from gallery or take from camera,0.0,take pipctures from gallery or take from camera,0.0,the app use camera permission,1.0,4
CAMERA,Use camera and scan QR code.,the app uses camera permission to start video,0.4,the app uses camera permission to start video,0.4,take a photo from camera,0.6,5
CAMERA,This app is using the device camera to take photographs and add colors; filters and effects,take photo with your camera of your camera,0.6666666666666666,you can scan barcode with camera using camera,0.0,take photo with your camera of your camera,0.6666666666666666,3
CAMERA,Use your camera to take pictures.,the app uses camera permission,0.3333333333333333,take photo with your camera you can add effect filter and save photo to your gallery,0.6666666666666666,take a photo from your gallery or take a photo from camera,0.3333333333333333,3
CAMERA,Taking picture of your homework using camera device. Upload the photos.,you can use the camera to take pictures,0,you can use the camera to take pictures,0,you can use the camera to take pictures,0,0
CAMERA,Choose your tattoo design; take a picture and check it out inside app gallery.,open camera to open the camera and camera,0.3333333333333333,take photos from gallery or take photos from camera,0.6666666666666666,take photos from gallery or take photos from camera,0.6666666666666666,6
CAMERA,Take pictures using your device camera and apply different effects.,the application can use camera and camera,0,take photos from gallery or take photos from camera,0,take photos from gallery or take photos from camera,0,0
CAMERA,Open camera to scan.,open camera to take photo,1.0,open camera to take photo,0.0,open camera to take photo,0.0,2
CAMERA,Edit photos from gallery or photos taken from camera.,scan with the camera,0.6666666666666666,you can scan the qr in the app with camera for scanning,0.6666666666666666,scan with the camera,0.6666666666666666,3
CAMERA,Open camera and Simply scan the barcode of a product.,take photo with your camera,0.25,take photo with your camera,0.5,take photo with your camera,0.5,4
CAMERA,Decorate your photos with these incredible frames; choose a photo from the gallery or take a photow ith the camera; then apply the frame ;effects; sticker and text.,get camera device of your camera,0.8333333333333334,get camera device of your camera,0.5,get camera device of your camera,0.5,6
CAMERA,Whether you use your front or back camera; you can shoot the best pictures and make them even better.,take photo with your camera,0,take photo with your camera or take from gallery,0,select a photo from gallery or take a photo with the camera,0,0
CAMERA,capture photo from camera or choose from gallery.,the application can use camera and camera,1.0,the application can use camera and camera,2.0,the application can use camera and camera,2.0,6
CAMERA,Simply open the app and put the camera in front of the focal point of screen; scan the QR code. ,scan with the camera,1.0,take photo with your camera or take from gallery,0.0,scan the camera to scan qr code,0.5,4
CAMERA,Use camera to scan QR code.,this app use camera permission you can open camera scan qr code or barcode,0.75,this app use camera permission you can open camera scan qr code or barcode,0.75,scan code and scan barcode,0.5,4
CAMERA,QR code reader is designed with the permission of the camera to scan.,you can use the picture with your camera will be a photo as image you like,0.0,you can scan qr code using camera,1.0,scan the camera and barcode to scan,0.0,2
CAMERA,You can have video chat with your friends and family members.,this application use camera of your camera,0.6666666666666666,this application use camera of your camera,0.3333333333333333,this application use camera of your camera,0.3333333333333333,3
CAMERA,QR code reader is designed with the permission of the camera to scan QR code.,the app can use camera permission,0.75,app will use camera permission you use camera start video chat,0.75,the app can use camera permission,0.25,4
CAMERA,Scan product QR code or barcode using camera on your phone.,open camera of your camera you can use scan qr code or barcode,1.0,open camera of your camera you can use scan qr code or barcode,1.0,take the app with camera or take a photo,0.0,4
CAMERA,you turn on the app then watch QR code or Barcode by camera,this application uses camera permission,0.0,scan barcode and code to the camera,1.0,scan barcode and code to the camera,1.0,2
CAMERA,This app requires camera to provide you intruder selfie functionality and take photos of intruders.,take pictures from gallery or to take pictures with camera,0.5,this app use camera permission you can open camera scan qr code or barcode,0.5,take pictures from gallery or to take pictures with camera,0.5,2
CAMERA,take photos using the phone or tablet camera,this app access camera permission to take pictures,0.6666666666666666,this app access camera permission to take pictures,0.6666666666666666,the app use your camera of your camera,0.0,3
CAMERA,Make your life simple by scanning cost documents,open camera to take photo,0.25,take pictures from gallery or to take pictures with camera,0.75,open camera to take photo,0.25,4
CAMERA,The smartphone camera captures a picture through single vision or progressive lenses and the app computes the refractive data in seconds,take pictures with camera and your camera,0.5,you can scan the files in your phone gallery,0.25,take the app with camera or take a photo,0.75,4
CAMERA,Go ahead; take a Picture alone or accompanied and place within the selected background ,this app uses camera permission,0.3333333333333333,this app uses camera permission,0.3333333333333333,this app uses camera permission,0.3333333333333333,3
CAMERA,Quickly measure the heights of buildings; trees; stomp rocket flights; etc; by first pointing the camera at the objects ,take photo or video with camera,0.8,open camera to take pictures,0.4,take photo or video with camera,0.6,5
CAMERA,With LiveTrip Traveller you can send live messages and photos during every journey via 3G/4G/WIFI,this application can use camera of your camera,0.2,this application can use camera of your camera,0.4,this application can use camera of your camera,0.4,5
CAMERA,Barcode scanner,take camera to take the camera,0.0,scan code and scan barcode,1.0,scan code and scan barcode,1.0,5
CAMERA,Use our app to scan the barcode and order from your phone,scan the camera to scan qr code,0.4,this app use camera to scan qr code or barcode,0.6,take camera to take the camera,0.2,5
CAMERA,Use our app to scan the barcode and order from your phone,you can scan qr code or barcode with camera,0.8,you can scan qr code or barcode with camera,0.8,take camera to take the camera,0.2,5
CAMERA,Signature and image capture Bar codes,the app uses camera permission,0.6666666666666666,you can scan the qr code with your phone,0.3333333333333333,the app uses camera permission,0.6666666666666666,3
CAMERA,scan functionality for QR-codes; scan QR-Codes on the visitor badges and import this data in your contacts ,the app uses camera permission to take photo,0.2,the app uses camera permission to take photo,0.2,the app uses camera permission to take photo,0.2,5
CAMERA,Create a phenomenal collage out of your private photos If you are a person who takes a lot of pictures and likes making selfies,you can use the picture with your camera will be a photo as image you like,0.4,select a photo from gallery or take a photo with the camera,0.6,select a photo from gallery or take a photo with the camera,0.6,5
CAMERA,Start scanning your tickets today with ScanFastInstall the app to turn your Android device into a fully functional ticket scanneryou'll be ready to verify barcodes on all types of tickets for your events,the app use use your camera,0.0,the app use use your camera,0.0,the app use use your camera,0.0,4
CAMERA,Voice and video calls to mobile devices and computers,the app uses camera permission,1.0,the app uses camera permission,0.6666666666666666,the app uses camera permission,0.6666666666666666,3
CAMERA,Bring LumiSpa to life with this cool augmented reality appscan a LumiSpa AR image; and watch as a 3D projection of the new ageTry snapping photos or recording video of you ?'?using?'? your new digital device?'?all in the app!,open camera to take photo,0.5,take the app with camera or take a photo,1.0,take the app with camera or take a photo,1.0,2
CAMERA,Take new photos of receipts or choose existing photos,open camera to take photo,0.75,open camera to take photo,1.0,open camera to take photo,1.0,4
CAMERA,Anarkali Dress Photo Suit is photography application to set different Anarkali Dress on your face by live capturing OR per-captured photos,the app uses camera of your camera,0.0,the app uses camera of your camera,0.6,the app uses camera of your camera,0.6,5
CAMERA,you can record this lecture or take some pictures or even adding notes or taking some videos,the app uses camera of your camera,0.0,the app uses camera of your camera,0.0,the app uses camera of your camera,0.0,3
CAMERA,Users have one identify across all services; voice; video and Instant Messaging & PresenceVoice and video calls are enhanced with the highest quality voice ,take photo or video using camera of your device,1.0,take photo or video using camera of your device,1.0,camera access,0.3333333333333333,3
CAMERA,Automatic scan of voucher's QR code,scan the camera and barcode to scan,1.0,you can use your camera to start video call,0.16666666666666666,scan the camera and barcode to scan,1.0,6
CAMERA,Login via QR CodeLogin effortlessly by scanning the QR code,the app use use the camera permission,0.75,use camera to scan qr code or barcode,0.5,the app use use the camera permission,0.25,4
CAMERA,Flashlight on call is a free to download smart app which will blink flash light on callEven when your mobile mobile is in silent mode you will be intimated about a call through flashlight blink by using this flashlight on call,camera access,0.3333333333333333,camera access,0.16666666666666666,camera access,0.16666666666666666,6
CAMERA,Take or upload a picture of a receipt and submit for a new or existing claim,camera access,0.3333333333333333,select a photo from gallery or take a photo with the camera,0.8333333333333334,select a photo from gallery or take a photo with the camera,0.8333333333333334,6
CAMERA,Place it over photo from gallery or shot a new one,open camera to take picture or video,0.5,open camera to take picture or video,0.75,open camera to take picture or video,0.75,4
CAMERA,take a photo or select from image gallery,take pictures with camera and camera,0.25,take pictures using device camera or choose from gallery,0.75,take pictures with camera and camera,0.25,4
CAMERA,AR Christmas app lets you experience the season of love through Augmented RealityIt makes the traditional Christmas card comes alive,take photo selfie with the camera of your camera and you can take image from gallery,0.16666666666666666,take photo selfie with the camera of your camera and you can take image from gallery,0.16666666666666666,this app uses camera permission to use camera,0.8333333333333334,6
CAMERA,The app allows you the parent our caregiver to capture imagesYou simply take a picture of an object; place; or person and apply the appropriate text ,take pictures with camera and your camera,0.6,take pictures with camera and your camera,0.6,take pictures with camera and your camera,0.6,5
CAMERA,Collage Art brings you a variety of awesome features to help you create beautiful works of art from your photosUse a wide range of features and effects to spice up your picturesAdd emoji face stickers; love stickers; friendship stickers and more! ,you can can take photos using camera,0.5,you can can take photos using camera,1.0,you can can take photos using camera,1.0,2
CAMERA,QR code scanner and passcode features to easily connect with new communities and events,the application use contact permission,0.6666666666666666,the application use contact permission,0.6666666666666666,the application use contact permission,0.6666666666666666,3
CAMERA,You can make a video call for free with the most used face call apps such as Whatsapp; Messenger; Skype; Bigo Live; Imo; Kik; Tango; Viber; etc ,this app uses camera permission,0.5,you can use camera camera to scan qr code,0.0,this app uses camera permission,0.75,4
CAMERA,also allows you to snap a photo to add to your service request,you can use camera to take pictures,0.25,take the app with camera or take a photo,1.0,take the app with camera or take a photo,1.0,4
CAMERA,You simply snap a picture; enter a few details and you?'?re doneJust snap a picture and sell it on Pxsell ,the app uses camera permission to take a picture,0.3333333333333333,the app uses camera permission to take a picture,0.3333333333333333,take the camera or take a photo,0.6666666666666666,3
CAMERA,QR code verification tool for Folio,use camera to use you can scan qr code using camera,0.3333333333333333,take pictures with device camera and camera,0.6666666666666666,use camera to use you can scan qr code using camera,0.6666666666666666,3
CAMERA,Deploy services on new computers by simply scanning a QR code with this app on the local computer,you can use camera to scan the camera using your camera,1.0,scan the camera and barcode to scan,0.0,scan the camera and barcode to scan,0.0,1
CAMERA,Take a beautiful selfie of you or Choose a photo of anyone else you want from gallery,open camera to take photo,0.5,open camera to take photo,0.6666666666666666,open camera to take photo,0.6666666666666666,6
CAMERA,20+ well-designed video styles for you to edit and record unique moment,you can use the picture with your camera will be a photo as image you like,0.2,take photo or selfie with camera or select photo from your phone gallery,0.8,select a photo from gallery or take a photo with the camera,0.0,5
CAMERA,The app allows you to scan a QR code that matches a label for your business,scan the camera to scan qr code,0.3333333333333333,this app uses camera permission,0.3333333333333333,scan the camera to scan qr code,0.3333333333333333,3
CAMERA,KalTicket Pro allows your ticket salesperson to scan tickets with QR code at the entrance of cinemas or theaters,open camera you can use camera to scan,0.2,open camera you can use camera to scan,0.0,open camera you can use camera to scan,0.0,5
CAMERA,It is an easy and fun way to enhance your personal photos and Changer yourself in dancer,can scan qr code with the the camera,0.2,can scan qr code with the the camera,0.2,can scan qr code with the the camera,0.2,5
CAMERA,Transcribe written notes ?'? from a photo of your padCreate Outlook contacts ?'? from photos of business cardsDo expense reports ?'? from photos of receipts and a spoken description of the tripEnter records in a database ?'? from a photo of a form,take photos from gallery or take photos from camera,0.5,save photo to gallery,0.75,take photos from gallery or take photos from camera,0.5,4
CAMERA,Even better; its high-speed HD video and audio chats bring more life into your conversations with your friend(s) ,the application uses camera permission,0.2,the application uses camera permission,0.2,the application uses camera permission,0.2,5
CAMERA,Upload photos,the app uses camera permission,0.0,start video chat using device camera of your camera,0.75,the app uses camera permission,0.0,4
CAMERA,Augmented reality is about to get augmented,take photos from gallery or take photos from camera,0.75,this app uses camera permission to take photo,0.5,take photos from gallery or take photos from camera,0.75,4
CAMERA,We also collect images; signatures; audio; dates and times; QR codes as well as many advanced feature rich enhancements that are being added by constant development ,access device camera to activate,0.16666666666666666,access device camera to activate,0.16666666666666666,this app access to your device camera,0.8333333333333334,6
CAMERA,Type or scan a VIN in order to stock in off lease inventory,this app access to your device camera,0.3333333333333333,this app access to your device camera,0.3333333333333333,you can open camera open the camera to scan,0.6666666666666666,3
CAMERA,you?'?ll be connected through a secure; video chat with a licensed; local doctor ,camera access,0.75,take the camera or take a photo,0.5,take the camera or take a photo,0.5,4
CAMERA,Modify flashlight notification app for android with deferent colors white; purple; pink; Yellow; green; blue; redNow available flashlight app for sms texting and calling ,the app need camera permission to use use video chat,0.5,the app need camera permission to use use video chat,0.5,the app need camera permission to use use video chat,0.5,4
CAMERA,If you love taking pictures with your children and you want to do something special with themChoose a photograph from your device or take a new one,the app uses camera permission to use flash light of your camera,0.6666666666666666,the app uses camera permission to use flash light of your camera,0.6666666666666666,the app uses camera permission to use flash light of your camera,0.6666666666666666,3
CAMERA,Parked Car Finder QR Code and VIN Barcode scanner New and pre-owned inventory,get camera device of your camera,1.0,get camera device of your camera,0.8,get camera device of your camera,0.8,5
CAMERA,Take or upload pictures to report and prove issues,this app uses camera to scan qr code or barcode with camera camera camera,0.16666666666666666,this app uses camera to scan qr code or barcode with camera camera camera,0.16666666666666666,take photo with the camera of your device,0.6666666666666666,6
CAMERA,show your creative side of taking the pictures with our quality frames,take a photo from camera,0.2,take photo with camera or take from phone gallery,0.8,take a photo from camera,0.2,5
CAMERA,Search by scanning serial bar code,scan camera to scan the barcode,0.3333333333333333,open camera to take pictures you can set frames to photo,0.3333333333333333,scan code and scan barcode,0.6666666666666666,3
CAMERA,Join quests and compete with other players to photograph animals and plants in the wild,take the camera or take a photo,0.8333333333333334,open open camera to scan qr code and barcode using camera,0.16666666666666666,take the camera or take a photo,0.8333333333333334,6
CAMERA,SCAN: Featuring NFC and QR code scanning with full traceability of the parts from manufacturing,scan the camera,0.6666666666666666,this app uses camera camera permission,0.3333333333333333,scan the camera,0.6666666666666666,3
CAMERA,[AR Features]Summon your Heroes to the real world!,take camera to take the camera,0.3333333333333333,take camera to take the camera,0.6666666666666666,take camera to take the camera,0.6666666666666666,3
CAMERA,Recognition of images to access promotions,the app use device camera,2.0,the app use device camera,2.0,select a photo from gallery or take a photo with the camera,3.0,6
CAMERA,scan barcodes of inspected products to trace them back take and upload photos to integrate them into your inspection reports,scan camera,0.3333333333333333,you can use camera and scan saved photo from phone gallery,0.3333333333333333,scan code and scan barcode,0.6666666666666666,3
CAMERA,Android Enterprise Enrollment using QR Code; NFC or HashcodeProprietary Non-GMS Enrollment (QR-code based) ,the app use camera you can scan barcode with camera you can can open camera to take photo,0.6,the app use camera you can scan barcode with camera you can can open camera to take photo,0.6,get camera device of your camera,0.4,5
CAMERA,To place a business-quality video or voice-only call into a business from your Android deviceIt's that easy to start a face-to-face interaction,the app use camera permission,1.0,the app use camera permission,0.5,the app use camera permission,0.5,4
CAMERA,Record video and take pictures as a dashcam,take pictures and videos with device camera,0.6666666666666666,the app use camera camera permission,0.3333333333333333,take pictures and videos with device camera,0.6666666666666666,3
CAMERA,wherever you go; any time and any moment just take pic from camera or import photo from gallery just decorate with this photo frame app ,take photo or video with device camera,0.3333333333333333,take photo or video with device camera,0.0,take photo or video with device camera,0.0,3
