Permission,Original Description,Synthesized Descritpion 1,Semantic Rating,Syntax rating,Length rating,Synthesized Descritpion 2,Semantic Rating,Syntax rating,Length rating
CALENDAR,Add events you are going directly to your mobile calendar,add events to calendar and add calendar,5,3,5,access your calendar,2,4,2
CALENDAR,Make use of the calendar button on the home screen to view and organize your events,read your calendar and calendar events,5,4,4,calendar access,2,4,2
CALENDAR,In this application; the confirmation of the latest event information and calendars,you can also add calendar and add events,4,4,4,you can use calendar,3,5,3
CALENDAR,Add school events to your phone's calendar,add events to calendar and add calendar,4,3,5,access calendar,3,2,2
CALENDAR,Calendar management,read your calendar and calendar events,4,5,4,calendar access,3,2,2
CALENDAR,Add school events to your phone's calendar,you can also add calendar and add events,4,4,4,you can use calendar,3,5,4
CALENDAR,WRITE CALENDAR : To write user schedule in android system,you can also add calendar and add events,4,4,4,write event calendar,4,3,2
CALENDAR,READ CALENDAR : To show user schedule in application,read calendar and you can share your calendar with your friends,2,5,4,calendar access,3,2,2
CALENDAR,Appointments are retrieved from your different Google calendars,you can read calendar events and to share it,4,5,4,write event calendar,3,4,4
CALENDAR,A simple yet useful calendar app for Persian (Jalali) calendar system-sync with Google Calendars and show events,read your calendar and calendar events,4,5,4,access your calendar,3,4,2
CAMERA,This application implements camera function to take photos,use your camera to take pictures with your device camera,5,4,5,use your camera to take pictures with your device camera,5,5,5
CAMERA,This application implements camera function to take videos.,you can record video use your device camera,5,5,4,you can record video use your device camera,5,5,5
CAMERA,Just walk around the hotel and point your device's camera at the piece of art you'd like to learn more about,this app use camera permission to take pictures,3,5,3,app uses camera permission,3,5,3
CAMERA,Custom camera to help selecting the item on the picture,app can use camera of your camera and you can select camera and camera,2,1,3,this application use camera of your camera,3,3,3
CAMERA,These fields can be opened in barcode scanner or camera as soon as they are focused,this app uses camera to scan qr code and barcode,5,5,4,take picture with your comera of your camera,2,3,4
CAMERA,Select your image from gallery or take a picture using camera.,take photo with your camera or take from gallery,5,5,5,open camera to take photo,5,4,3
CAMERA,Can choose an image from the gallery or from the camera.,open camera to take photo or take from phone gallery,5,4,5,use the camera and take picture,4,5,4
CAMERA,Take a selfie or Capture a picture with Camera or Select your photo from gallery Save and share the pictures with your friends through social media networks,app use use camera to take pictures by camera or choose photo from gallery you can can save image to device gallery and share with your contacts,4,3,5,open camera to take photo,3,5,3
CAMERA,Choose a photo from your gallery or take it with the camera of your device; select a frame and generate your photo ,open camera to take pictures or choose image from phone gallery,4,4,4,open camera to take photo,3,5,3
CAMERA,Use camera to take pictures; share your photo from gallery or taken from camera.,take photo with your camera or take from gallery,5,4,4,the app use camera of your device camera,3,3,3
CAMERA,Alternatively they can add photos from the app; using the Smartphone?'?s camera at the destination ,access device camera,3,5,3,camera access,4,2,2
CAMERA,The camera on your device is used to scan barcodes and look up item information,this app use camera to scan qr code you can scan barcode using camera,4,4,3,you can use the camera to take pictures,2,5,3
CAMERA,Taking selfies; edit photos with different effects. ,take photo with your camera you can add effect and filter,5,5,4,record videos using camera on your device,2,4,5
CAMERA,Capture photos and videos in high resolution HD quality,you can take pictures with your device camera,4,5,4,take picture with the camera,4,5,5
CAMERA,Capture videos in high resolution HD quality,record videos using camera on your device,5,4,5,open camera to take photo,4,5,4
CAMERA,select photo from gallery or from phone/camera and apply various effects,take photos with your camera and effects and you can share it with friends,4,4,5,the app use camera of your camera,3,3,3
CAMERA,permissions for photo-taking: using camera to take photos and selfies.,you can take photo selfie with the the camera,5,3,5,take photo with your camera or take from gallery,4,4,5
CAMERA,take pictures,take photo with your camera or take from gallery,4,5,4,take picture with camera and your camera,5,4,4
CAMERA,shoot videos and snapshots,you can use camera to record video,4,5,5,this app uses camera permission,4,5,5
CAMERA,May be used as a coarse stroboscope; with limitations due to device hardware; on devices that support fast turning on/off of the camera flash ,access camera to use flash light of your camera,4,5,4,open camera to take photo,3,4,3
CAMERA,Record videos with your camera,this app uses camera permission to record video with your device camera,5,5,4,you can take pictures with your camera,4,5,5
CAMERA,Take photos with your camera,you can take pictures with your camera,5,5,5,take the camera to take pictures,5,3,5
CAMERA,Select a photo from phone gallery or take picture using the phone camera,take photo with your camera or take from gallery,5,5,5,you can use the picture with your camera will be a photo as image you like,3,4,5
CAMERA,Make selfies or photos with the front or rear camera; edit photos.,select camera you can take pictures using use your device camera,4,3,5,take picture with camera and your camera,3,3,5
CAMERA,Take; select; and edit your pictures.,take photos with device camera and effects,4,4,5,camera access,4,2,2
CAMERA,Tap to take a photo,you can take photo with your device camera,4,5,4,take picture with camera and your camera,4,3,4
CAMERA,press and hold for video ,this app uses camera permission to record video,5,5,3,open camera to take photo,3,5,5
CAMERA,Can choose an image from the gallery or taken from the camera.,open camera to take photo with your camera or select from gallery,5,4,5,open camera to open the camera and camera,5,2,5
CAMERA,Barcode scanning with built-in camera supported,you can use camera to scan barcode or qr code for scanning,5,5,4,take photo with the camera of your camera,2,5,4
CAMERA,Take better photos is one of the best selfie camera app with multiple features,take pictures using device camera,5,4,3,you can take pictures using your device camera,4,5,4
CAMERA,This app need access to your camera.,the app can use camera permission,5,5,5,you can use the camera to take pictures,4,5,5
CAMERA,Take beautiful selfies anytime; anywhere by applying filters and that too in silent mode,you can take pictures using your device camera,4,5,4,take photo with the camera of your camera,3,5,4
CAMERA,Directly import photo from gallery or quick access from camera for 3D text,choose photo from device gallery you can take pictures with with camera device camera,3,3,4,take camera to take the camera,4,3,3
CAMERA,Open the application; press "Start"; and point the camera.,this app access device camera,3,5,3,take photo with your camera,5,4,3
CAMERA,Capture picture with camera; Calibrate; Measure in different modes ,take photo with your camera,3,5,3,take camera to take the camera,3,3,3
CAMERA,Select photo from your phone gallery or take photo by using the camera,take photo with your camera or take from gallery,5,4,4,get camera device of your camera,3,3,3
CAMERA,Take photos; selfies; portrait using device camera. ,take pipctures from gallery or take from camera,3,5,4,the application can use camera and camera,4,3,4
CAMERA,Open camera to have a live chat with your friends.,the app uses camera permission to start video,4,4,3,the app use camera permission,4,4,4
CAMERA,Use camera and scan QR code.,you can scan barcode with camera using camera,3,3,4,take camera to take the camera,3,3,5
CAMERA,This app is using the device camera to take photographs and add colors; filters and effects,take photo with your camera you can add effect filter and save photo to your gallery,3,4,5,take photo with your camera of your camera,4,3,4
CAMERA,Use your camera to take pictures.,take photo with your camera or take from gallery,3,4,4,the app uses camera permission,3,5,3
CAMERA,Taking picture of your homework using camera device. Upload the photos.,the app uses camera permission to take pictures,5,5,4,you can use the camera to take pictures,3,5,4
CAMERA,Choose your tattoo design; take a picture and check it out inside app gallery.,take photo with your camera,4,4,3,open camera to open the camera and camera,4,2,4
CAMERA,Take pictures using your device camera and apply different effects.,take photos with device camera and effects,5,4,4,the application can use camera and camera,4,2,5
CAMERA,Open camera to scan.,you can scan the qr in the app with camera for scanning,4,4,3,open camera to take photo,3,4,5
CAMERA,Edit photos from gallery or photos taken from camera.,open camera to take photo and take photo to to gallery,3,4,4,scan with the camera,2,5,3
CAMERA,Open camera and Simply scan the barcode of a product.,this app use camera permission to use camera you can scan barcode with your camera,5,4,4,take photo with your camera,2,5,3
CAMERA,Decorate your photos with these incredible frames; choose a photo from the gallery or take a photow ith the camera; then apply the frame ;effects; sticker and text.,take photo with your camera or take from gallery,5,4,3,get camera device of your camera,3,3,3
CAMERA,Whether you use your front or back camera; you can shoot the best pictures and make them even better.,the app will use camera front camera of your device,4,4,4,take photo with your camera,5,4,3
CAMERA,capture photo from camera or choose from gallery.,take photo with your camera or take from gallery,5,4,5,the application can use camera and camera,3,3,4
CAMERA,Simply open the app and put the camera in front of the focal point of screen; scan the QR code. ,this app use camera permission you can open camera scan qr code or barcode,4,3,4,scan with the camera,4,4,2
CAMERA,Use camera to scan QR code.,you can scan qr code using camera,5,5,4,you can scan qr code using camera,5,5,5
CAMERA,QR code reader is designed with the permission of the camera to scan.,this app uses camera to scan qr code or barcode with camera,5,5,5,you can use the picture with your camera will be a photo as image you like,2,3,3
CAMERA,You can have video chat with your friends and family members.,app will use camera permission you use camera start video chat,5,4,5,this application use camera of your camera,3,3,4
CAMERA,QR code reader is designed with the permission of the camera to scan QR code.,open camera of your camera you can use scan qr code or barcode,5,4,5,the app can use camera permission,3,5,3
CAMERA,Scan product QR code or barcode using camera on your phone.,access device camera you can use scan qr code and barcode,4,5,5,take camera to take the camera,2,2,4
CAMERA,you turn on the app then watch QR code or Barcode by camera,this app use camera permission you can open camera scan qr code or barcode,5,4,4,this application uses camera permission,3,5,3
CAMERA,This app requires camera to provide you intruder selfie functionality and take photos of intruders.,this app access camera permission to take pictures,4,5,3,take pictures from gallery or to take pictures with camera,3,4,4
CAMERA,take photos using the phone or tablet camera,take pictures from gallery or to take pictures with camera,4,4,5,the app use your camera of your camera,3,4,5
CAMERA,Make your life simple by scanning cost documents,you can scan the files in your phone gallery,3,5,5,open camera to take photo,4,3,4
CAMERA,The smartphone camera captures a picture through single vision or progressive lenses and the app computes the refractive data in seconds,take picture with camera,3,5,3,take pictures with camera and your camera,3,4,3
CAMERA,Go ahead; take a Picture alone or accompanied and place within the selected background ,open camera to take pictures,4,4,3,this app uses camera permission,3,5,3
CAMERA,Quickly measure the heights of buildings; trees; stomp rocket flights; etc; by first pointing the camera at the objects ,this app use camera permission to use camera,4,4,3,take photo or video with camera,3,5,3
CAMERA,With LiveTrip Traveller you can send live messages and photos during every journey via 3G/4G/WIFI,take photo or video with camera,4,4,3,this application can use camera of your camera,2,2,3
CAMERA,Barcode scanner,this app use camera to scan qr code or barcode,4,5,4,take camera to take the camera,1,2,4
CAMERA,Use our app to scan the barcode and order from your phone,you can scan qr code or barcode with camera,5,5,5,scan the camera to scan qr code,3,5,3
CAMERA,Use our app to scan the barcode and order from your phone,you can scan the qr code with your phone,5,5,4,camera access,3,5,3
CAMERA,Signature and image capture Bar codes,the app uses camera permission to take photo,2,4,3,the app uses camera permission,4,3,4
CAMERA,scan functionality for QR-codes; scan QR-Codes on the visitor badges and import this data in your contacts ,scan the qr code in your phone,4,5,3,open camera you can use camera to scan,4,4,3
CAMERA,Create a phenomenal collage out of your private photos If you are a person who takes a lot of pictures and likes making selfies,the app use use your camera,3,2,3,you can use the picture with your camera will be a photo as image you like,3,4,4
CAMERA,Start scanning your tickets today with ScanFastInstall the app to turn your Android device into a fully functional ticket scanneryou'll be ready to verify barcodes on all types of tickets for your events,the app uses camera permission,3,5,3,the app uses camera of your camera,3,4,3
CAMERA,Voice and video calls to mobile devices and computers,this app uses camera permission to use camera for video call,4,4,4,the app uses camera permission,4,5,3
CAMERA,Bring LumiSpa to life with this cool augmented reality appscan a LumiSpa AR image; and watch as a 3D projection of the new ageTry snapping photos or recording video of you ?'?using?'? your new digital device?'?all in the app!,access your camera to take photo or video,2,5,2,open camera to take photo,3,4,2
CAMERA,Take new photos of receipts or choose existing photos,open camera to take photo or select photo from phone gallery,5,5,5,open camera to take photo,4,4,4
CAMERA,Anarkali Dress Photo Suit is photography application to set different Anarkali Dress on your face by live capturing OR per-captured photos,the app uses camera of your camera,3,4,3,the app uses camera of your camera,3,4,3
CAMERA,you can record this lecture or take some pictures or even adding notes or taking some videos,take photo or video using camera of your device,4,4,3,take pictures with device camera and camera,3,3,3
CAMERA,Users have one identify across all services; voice; video and Instant Messaging & PresenceVoice and video calls are enhanced with the highest quality voice ,you can use your camera to start video call,5,5,3,camera access,3,5,2
CAMERA,Automatic scan of voucher's QR code,use camera to scan qr code or barcode,5,4,5,scan the camera,3,4,3
CAMERA,Login via QR CodeLogin effortlessly by scanning the QR code,the app use use the camera permission,4,5,4,the app use use the camera permission,3,2,3
CAMERA,Flashlight on call is a free to download smart app which will blink flash light on callEven when your mobile mobile is in silent mode you will be intimated about a call through flashlight blink by using this flashlight on call,access camera of your device camera to use flash light of your camera,4,5,5,camera access,1,2,2
CAMERA,Take or upload a picture of a receipt and submit for a new or existing claim,take pictures using device camera,4,4,3,camera access,3,5,2
CAMERA,Place it over photo from gallery or shot a new one,take pictures using device camera or choose from gallery,5,5,5,open camera to take picture or video,4,4,5
CAMERA,take a photo or select from image gallery,take photo selfie with the camera of your camera and you can take image from gallery,4,3,4,take pictures with camera and camera,4,3,5
CAMERA,AR Christmas app lets you experience the season of love through Augmented RealityIt makes the traditional Christmas card comes alive,this app uses camera permission to use camera,3,4,3,this app uses camera permission to use camera,3,4,3
CAMERA,The app allows you the parent our caregiver to capture imagesYou simply take a picture of an object; place; or person and apply the appropriate text ,take pictures using device camera or choose from gallery,3,4,3,take pictures with camera and your camera,3,2,3
CAMERA,Collage Art brings you a variety of awesome features to help you create beautiful works of art from your photosUse a wide range of features and effects to spice up your picturesAdd emoji face stickers; love stickers; friendship stickers and more! ,take pictures with your device camera,3,5,3,you can can take photos using camera,4,4,3
CAMERA,QR code scanner and passcode features to easily connect with new communities and events,you can use camera camera to scan qr code,4,3,4,the application use contact permission,2,4,3
CAMERA,You can make a video call for free with the most used face call apps such as Whatsapp; Messenger; Skype; Bigo Live; Imo; Kik; Tango; Viber; etc ,this app uses camera permission,3,5,3,this app uses camera permission,4,5,3
CAMERA,also allows you to snap a photo to add to your service request,the app uses camera permission to take a picture,5,5,5,you can use camera to take pictures,4,5,4
CAMERA,You simply snap a picture; enter a few details and you?'?re doneJust snap a picture and sell it on Pxsell ,take pictures with device camera and camera,3,3,3,open camera to take picture or video,4,4,3
CAMERA,QR code verification tool for Folio,use camera to use you can scan qr code using camera,5,3,4,use camera to use you can scan qr code using camera,4,2,5
CAMERA,Deploy services on new computers by simply scanning a QR code with this app on the local computer,open camera you can use use to scan qr code or barcode,4,4,4,you can use camera to scan the camera using your camera,4,2,4
CAMERA,Take a beautiful selfie of you or Choose a photo of anyone else you want from gallery,take photo or selfie with camera or select photo from your phone gallery,5,5,5,open camera to take photo,3,4,3
CAMERA,20+ well-designed video styles for you to edit and record unique moment,this app uses camera permission,4,5,3,you can use the picture with your camera will be a photo as image you like,2,3,4
CAMERA,The app allows you to scan a QR code that matches a label for your business,open camera you can can scan qr code and barcode using camera of camera,4,2,5,scan the camera to scan qr code,4,3,3
CAMERA,KalTicket Pro allows your ticket salesperson to scan tickets with QR code at the entrance of cinemas or theaters,can scan qr code with the the camera,4,4,3,open camera you can use camera to scan,4,4,4
CAMERA,It is an easy and fun way to enhance your personal photos and Changer yourself in dancer,save photo to gallery,3,5,4,the app uses camera permission,4,5,3
CAMERA,Transcribe written notes ?'? from a photo of your padCreate Outlook contacts ?'? from photos of business cardsDo expense reports ?'? from photos of receipts and a spoken description of the tripEnter records in a database ?'? from a photo of a form,this app uses camera permission to take photo,3,5,3,camera access,3,2,2
CAMERA,Even better; its high-speed HD video and audio chats bring more life into your conversations with your friend(s) ,start video chat using device camera of your camera,5,4,3,the application uses camera permission,3,5,3
CAMERA,Upload photos,this app uses camera permission to take photo,2,5,3,the app uses camera permission,3,5,3
CAMERA,Augmented reality is about to get augmented,access device camera to activate,2,5,3,take camera to take the camera,2,3,4
CAMERA,We also collect images; signatures; audio; dates and times; QR codes as well as many advanced feature rich enhancements that are being added by constant development ,this app access to your device camera,3,4,2,this app access to your device camera,3,4,3
CAMERA,Type or scan a VIN in order to stock in off lease inventory,scan the qr code or barcode with device camera,3,4,4,you can open camera open the camera to scan,4,3,3
CAMERA,you?'?ll be connected through a secure; video chat with a licensed; local doctor ,the app need camera permission to use use video chat,5,5,4,camera access,3,5,2
CAMERA,Modify flashlight notification app for android with deferent colors white; purple; pink; Yellow; green; blue; redNow available flashlight app for sms texting and calling ,the app uses camera permission to use flash light of your camera,4,5,4,the app uses camera permission,2,5,3
CAMERA,If you love taking pictures with your children and you want to do something special with themChoose a photograph from your device or take a new one,take photo with camera or take from phone gallery,4,4,3,take the camera to take picture,3,4,3
CAMERA,Parked Car Finder QR Code and VIN Barcode scanner New and pre-owned inventory,this app uses camera to scan qr code or barcode with camera camera camera,4,3,5,get camera device of your camera,3,3,3
CAMERA,Take or upload pictures to report and prove issues,take photo with camera or take from phone gallery,3,4,5,take photo with the camera of your device,3,5,4
CAMERA,show your creative side of taking the pictures with our quality frames,open camera to take pictures you can set frames to photo,4,5,4,open camera to take photo,4,4,3
CAMERA,Search by scanning serial bar code,open open camera to scan qr code and barcode using camera,4,2,4,scan camera to scan the barcode,4,4,5
CAMERA,Join quests and compete with other players to photograph animals and plants in the wild,this app uses camera camera permission,3,2,3,camera access,3,2,2
CAMERA,SCAN: Featuring NFC and QR code scanning with full traceability of the parts from manufacturing,the app use camera use camera permission,3,2,3,scan the camera,2,3,3
CAMERA,[AR Features]Summon your Heroes to the real world!,the app use device camera,3,5,3,take camera to take the camera,3,3,4
CAMERA,Recognition of images to access promotions,you can use camera and scan saved photo from phone gallery,4,5,5,open camera to take picture or video,3,4,5
CAMERA,scan barcodes of inspected products to trace them back take and upload photos to integrate them into your inspection reports,the app use camera you can scan barcode with camera you can can open camera to take photo,5,3,4,scan camera,3,4,3
CAMERA,Android Enterprise Enrollment using QR Code; NFC or HashcodeProprietary Non-GMS Enrollment (QR-code based) ,you can scan qr code and barcode with camera,4,5,3,get camera device of your camera,3,3,3
CAMERA,To place a business-quality video or voice-only call into a business from your Android deviceIt's that easy to start a face-to-face interaction,the app use camera camera permission,3,2,2,the app use camera permission,3,5,3
CAMERA,Record video and take pictures as a dashcam,open camera to take picture or video,5,4,5,take pictures and videos with device camera,4,5,5
CAMERA,wherever you go; any time and any moment just take pic from camera or import photo from gallery just decorate with this photo frame app ,take photo with camera or take from phone gallery,3,5,3,take photo or video with device camera,5,4,2
CAMERA,press volumn key to take picutres,this app uses camera permission to take pictures,3,5,4,the app uses camera to take picture,4,5,5
CAMERA,press volumn key to record video,you can record video using device camera and camera,5,5,4,this application uses camera permission,3,5,4
CAMERA,A Better Editor & Effects integrated with A Better Camera - Get it now! Capture now - process later,this app uses camera permission you can take photo using camera and set effects on photo,5,5,4,take camera to take the camera,3,3,3
CAMERA,the best mirror camera where you can make creative selfies and videos with more than 12 mirror effects,the app use use device camera of your camera,3,4,3,open camera to take the camera and take picture,3,3,3
CAMERA,choose a photo from the gallery or take a photo with the camera; then apply the frame that you like and you can save the photo; share with friends or upload to social networks Facebook; Twitter ; email etc ,take photo with camera or select photo from phone gallery,3,5,3,open camera to take picture or video,2,4,3
CAMERA,Select a photo from the gallery or take photos using the phone's camera,you can take pictures with camera or select from phone gallery,5,5,5,get camera device of your camera,4,4,3
CAMERA,Secret Video Recorder Record video without notifications,access camera to make video,4,4,3,the app uses camera permission,2,5,3
CAMERA,Silent CameraTake pictures in the background or foreground without shutter sound,take pictures with camera and camera,2,3,3,the app use camera of your camera,3,2,3
CAMERA,[Optional access rights]-Camera / Album????: Used to register and change in-game profile,this app uses camera camera permission,5,5,4,you can take photo with camera,4,5,4
CAMERA,Take pictures with vivid colors and rich details,you can can take photos using camera,4,2,4,app use camera of your camera to take photo,4,4,5
CAMERA,Photo Mission - Wake up and take photo of the registered place to dismiss your alarm,app use camera of your camera to take photo,3,4,4,the app uses your camera of your device camera,3,4,3
CAMERA,You point your smartphone camera at the subject; the name of the color is going to find out ,the app uses camera permission to use camera,4,5,4,the app uses camera permission,3,4,4
CAMERA,Camera access,the app you use use your camera,4,2,4,open camera to take the camera and take picture,4,4,4
CAMERA,take pictures and apply amazing effects on it,open camera to take pictures and make effects on photos,5,4,4,open camera to take picture or video,4,4,5
CAMERA,take videos and apply amazing effects on it,you can take videos with device camera,4,5,5,you can take photo with camera,3,5,4
CAMERA,Make snappic with live camera filters or make selfie video with live camera effects,the app uses camera permission to take photos,3,4,2,you can take videos with device camera,4,5,4
CAMERA,make selfie video with live camera effects,you can record video and with your device camera,3,3,4,the app uses camera permission,4,4,3
CAMERA,You can use your phone as usual; while being able to see the live image of your camera transparently on the entire screen ,the app uses camera permission,4,4,3,take photo with camera or take from gallery,3,5,3
CAMERA,Chose your camera shots or photos from your gallery; use photo effects; play with masks and effects and enjoy the result ,you can take photos with your camera or take from your phone gallery,5,5,4,this app uses camera permission,4,5,3
CAMERA,Control Center 12 Gives you access to the Camera;Clock;Screenshot;and more settings.,access your camera of you device camera camera,3,4,3,camera access,3,5,2
CAMERA,Shoot or pick your videos/photos/music; Movie Studio automatically turns them into beautifully edited movies; completed in minutes ,this app uses camera permissionn to take photos or videos,5,4,3,the app use use camera permission,3,2,3
CAMERA,Camera Color Picker is a very light weight app that uses the camera of your device to capture a color,the app use use camera permission,3,2,3,take camera to take the camera,4,3,3
CAMERA,It analyses in real time the camera preview and extracts the color that you are pointing at,this app uses camera permission you can use camera camera,2,2,3,you can use the camera to take a photo,3,5,4
CAMERA,this app will help you with its advanced and smart voice selfie and countdown camera features to take some amazing selfies using your voice or a countdown,take selfie using rear camera,3,4,3,record with your camera,4,5,3
CAMERA,Dashboard Cam allows the users to record video,this app uses camera and camera to record video,5,3,4,you can take photo using camera and your device camera,3,5,4
CAMERA,Dashboard Cam allows the users to take photo,you can take photo using camera and your device camera,4,5,5,get camera device of your camera,3,3,3
CAMERA,Create a selfie; submit it and talented people from all around the world can draw a portrait of you! ,take pictures from gallery or take from camera,3,4,3,the app uses camera permission,3,5,3
CAMERA,Multiple exposures on the single photo for the android camera,the app use camera permission,3,5,3,you can use the camera to take a photo,4,5,4
CAMERA,Capture a new image with your camera and apply an amazing photo frame to it!,open camera to take photo with camera,4,4,4,you can take pictures or videos using device camera,4,5,4
CAMERA,Take a photo; record a video and share with the world!Use the web search to find faces to swap with or use one from the built-in ones such as a statue or a doll face or a masquerade mask ,you can take pictures or videos using device camera,4,5,4,take photo with camera or take from gallery,3,4,3
CAMERA,Take photos and videos with the professional mode to adjust the scene,take photos with device camera and effects,5,4,3,camera access,3,5,2
CAMERA,HD Camera Selfie Camera designed specifically for selfie; with extreme pro effects.,you can take photos with device camera and effects and share it with your friends,4,5,5,you can use the camera to take a photo,4,5,3
CAMERA,Features:take picture with front camera take picture with rear camera,take pictures with your device camera,4,5,4,this app uses camera permission to take pictures,5,5,4
CAMERA,Camera : Takes pictures,this app uses camera permission to take pictures,5,5,4,camera access,4,3,2
CAMERA,MineCam MC Dimensions allows you to take ordinary photos or selfies and add awesome Minecraf effects to them,the app uses camera permission to take photos you can can add effects and filters,4,2,4,record with your camera,3,4,2
CAMERA,Record videos,you can take pictures with camera of your device camera,3,5,4,camera access,1,2,5
CAMERA,take photos,the app uses camera to record video,2,5,4,this application uses camera permission,3,5,4
CAMERA,Turn on your phone camera; your phone will show your background screen from back camera and make your device as transparent screen ,this app use use use camera permission,3,2,3,open camera to take picture or video,4,4,3
CAMERA,HD filters Camera is a fully-featured free Camera app; with Quick Snap and HD videos; and offers Photo Sphere; and another creative panorama photo modes ,you can take photo and videos in high resolution,4,5,4,get camera device of your camera,3,4,2
CAMERA,Easy to Shoot professional Camera Effects; Real-time Preview of the beautiful Photo and video filters Effects ,take pictures and videos with device camera,3,5,4,this app uses camera permission to take photo,4,5,3
CAMERA,Voice Command Mode: take photo by voice command (command is Cheese),this app uses camera permission to take photos,4,5,5,you can use the camera to take a photo,3,5,4
