Permission,Original Description,DecribeCtx-Ctx Descritpion,Semantic Rating,Syntax rating,Length rating,DecribeCtx Descritpion,Semantic Rating,Syntax rating,Length rating,Code2Vec Descritpion,Semantic Rating,Syntax rating,Length rating
CALENDAR,add special notes to cards and personal reminders to your calendar,the app uses calendar to read calendar,2,5,4,you can add events to your device calendar,4,5,4,the app uses calendar to read calendar,2,5,4
CALENDAR,While you can preview events in the a Calendar Store app you need to purchase a yearly subscription to sync to your Android calendars (free 60 minute test available),add add add event to the calendar,3,2,1,add events and add to your calendar,3,3,1,access your calendar,2,4,1
CALENDAR,Contacts/Calendar; so Offi can route you to your contacts or location from a calendar event; store a connection in your calendar or e-mail it to your friends ,access calendar,2,4,1,this app will use read calendar permission,2,5,1,access your calendar,2,4,1
CALENDAR,Add events you are going directly to your mobile calendar,access your calendar,3,4,1,add events to calendar and add calendar,4,4,4,access calendar,3,4,1
CALENDAR,Make use of the calendar button on the home screen to view and organize your events,calendar access,3,2,3,read your calendar and calendar events,4,2,3,access your calendar,3,4,3
CALENDAR,In this application; the confirmation of the latest event information and calendars,you can use calendar,3,5,1,you can also add calendar and add events,3,5,4,set your calendar to calendar,3,3,2
CALENDAR,Add school events to your phone's calendar,access calendar,3,4,1,add events to calendar and add calendar,5,4,5,access calendar,3,4,1
CALENDAR,Calendar management,calendar access,3,4,3,read your calendar and calendar events,5,5,5,set calendar of your calendar,4,2,4
CALENDAR,Add school events to your phone's calendar,you can use calendar,3,5,3,you can also add calendar and add events,4,5,5,you can use calendar,3,5,3
CALENDAR,WRITE CALENDAR : To write user schedule in android system,write event calendar,3,4,1,you can also add calendar and add events,3,5,4,you can send calendar and make events,3,5,4
CALENDAR,READ CALENDAR : To show user schedule in application,calendar access,3,3,3,read calendar and you can share your calendar with your friends,4,4,4,set calendar of your calendar,3,2,4
CALENDAR,Appointments are retrieved from your different Google calendars,write event calendar,3,4,2,you can read calendar events and to share it,3,4,5,set calendar of your calendar,3,3,3
CALENDAR,A simple yet useful calendar app for Persian (Jalali) calendar system-sync with Google Calendars and show events,access your calendar,2,4,1,read your calendar and calendar events,3,4,2,send your calendar to calendar and make events,3,3,2
CAMERA,This application implements camera function to take photos,use your camera to take pictures with your device camera,3,3,4,add events to calendar and add calendar,5,4,5,take a photo from camera,4,4,3
CAMERA,This application implements camera function to take videos.,you can record video use your device camera,3,4,5,use your camera to take pictures with your device camera,5,3,4,take a photo from camera,3,4,3
CAMERA,Just walk around the hotel and point your device's camera at the piece of art you'd like to learn more about,app uses camera permission,2,5,1,you can record video use your device camera,3,4,2,app uses camera permission,2,5,1
CAMERA,Custom camera to help selecting the item on the picture,this application use camera of your camera,3,3,4,this app use camera permission to take pictures,3,5,4,take a photo from your gallery or take a photo from camera,3,5,5
CAMERA,These fields can be opened in barcode scanner or camera as soon as they are focused,take picture with your comera of your camera,2,3,4,app can use camera of your camera and you can select camera and camera,4,1,5,take a photo from your gallery or take a photo from camera,2,5,4
CAMERA,Select your image from gallery or take a picture using camera.,open camera to take photo,4,4,4,this app uses camera to scan qr code and barcode,5,4,5,take a photo from camera,3,4,4
CAMERA,Can choose an image from the gallery or from the camera.,use the camera and take picture,3,5,4,take photo with your camera or take from gallery,5,4,5,take the app with camera or take a photo,4,4,5
CAMERA,Take a selfie or Capture a picture with Camera or Select your photo from gallery Save and share the pictures with your friends through social media networks,open camera to take photo,3,4,1,open camera to take photo or take from phone gallery,5,4,2,take a photo from camera,3,4,1
CAMERA,Choose a photo from your gallery or take it with the camera of your device; select a frame and generate your photo ,open camera to take photo,4,4,1,app use use camera to take pictures by camera or choose photo from gallery you can can save image to device gallery and share with your contacts,4,3,5,open camera to take photo,4,4,1
CAMERA,Use camera to take pictures; share your photo from gallery or taken from camera.,the app use camera of your device camera,4,2,4,open camera to take pictures or choose image from phone gallery,5,5,4,the app use camera of your device camera,4,2,4
CAMERA,Alternatively they can add photos from the app; using the Smartphone?'?s camera at the destination ,camera access,3,2,3,take photo with your camera or take from gallery,3,4,4,take a photo from your gallery or take a photo from camera,4,4,4
CAMERA,The camera on your device is used to scan barcodes and look up item information,you can use the camera to take pictures,3,5,4,access device camera,4,5,3,take the app with camera or take a photo,2,4,4
CAMERA,Taking selfies; edit photos with different effects. ,record videos using camera on your device,2,4,5,this app use camera to scan qr code you can scan barcode using camera,5,4,3,record videos using camera on your device,2,4,5
CAMERA,Capture photos and videos in high resolution HD quality,take picture with the camera,4,4,4,take photo with your camera you can add effect and filter,4,4,5,take a photo from camera,4,4,4
CAMERA,Capture videos in high resolution HD quality,open camera to take photo,2,4,4,you can take pictures with your device camera,3,4,5,take the camera or take a photo,2,3,5
CAMERA,select photo from gallery or from phone/camera and apply various effects,the app use camera of your camera,3,3,4,record videos using camera on your device,4,5,4,take photos from gallery or take photos from camera,5,5,5
CAMERA,permissions for photo-taking: using camera to take photos and selfies.,take photo with your camera or take from gallery,4,4,5,take photos with your camera and effects and you can share it with friends,4,4,4,take photo with your camera or take from gallery,4,4,5
CAMERA,take pictures,take picture with camera and your camera,5,3,1,you can take photo selfie with the the camera,4,4,1,take picture with camera and your camera,5,3,1
CAMERA,shoot videos and snapshots,this app uses camera permission,4,5,4,take photo with your camera or take from gallery,4,4,4,this app uses camera permission,4,5,4
CAMERA,May be used as a coarse stroboscope; with limitations due to device hardware; on devices that support fast turning on/off of the camera flash ,open camera to take photo,2,4,1,you can use camera to record video,4,5,1,take the app with camera or take a photo,2,4,2
CAMERA,Record videos with your camera,you can take pictures with your camera,3,5,4,access camera to use flash light of your camera,5,4,4,take a photo from camera,3,4,5
CAMERA,Take photos with your camera,take the camera to take pictures,5,4,5,this app uses camera permission to record video with your device camera,5,5,4,take the camera to take pictures,5,4,5
CAMERA,Select a photo from phone gallery or take picture using the phone camera,you can use the picture with your camera will be a photo as image you like,3,2,3,you can take pictures with your camera,5,5,3,select a photo from gallery or take a photo with the camera,5,5,5
CAMERA,Make selfies or photos with the front or rear camera; edit photos.,take picture with camera and your camera,3,3,3,take photo with your camera or take from gallery,4,4,4,take picture with camera and your camera,3,3,3
CAMERA,Take; select; and edit your pictures.,camera access,2,4,1,select camera you can take pictures using use your device camera,4,3,3,select a photo from gallery or take a photo with the camera,3,4,2
CAMERA,Tap to take a photo,take picture with camera and your camera,3,3,4,take photos with device camera and effects,5,4,4,take picture with camera and your camera,3,3,4
CAMERA,press and hold for video ,open camera to take photo,2,4,4,you can take photo with your device camera,4,4,4,open camera to take photo,2,4,4
CAMERA,Can choose an image from the gallery or taken from the camera.,open camera to open the camera and camera,3,2,4,this app uses camera permission to record video,5,4,4,open camera to open the camera and camera,3,2,4
CAMERA,Barcode scanning with built-in camera supported,take photo with the camera of your camera,3,4,4,open camera to take photo with your camera or select from gallery,5,4,2,scan the barcode to your camera,5,4,5
CAMERA,Take better photos is one of the best selfie camera app with multiple features,you can take pictures using your device camera,4,5,4,you can use camera to scan barcode or qr code for scanning,4,3,5,take the app with camera or take a photo,2,3,4
CAMERA,This app need access to your camera.,you can use the camera to take pictures,4,5,5,take pictures using device camera,5,4,5,you can use the camera to take pictures,4,5,5
CAMERA,Take beautiful selfies anytime; anywhere by applying filters and that too in silent mode,take photo with the camera of your camera,3,3,4,the app can use camera permission,3,2,4,take photo with the camera of your camera,3,3,4
CAMERA,Directly import photo from gallery or quick access from camera for 3D text,take camera to take the camera,3,3,2,you can take pictures using your device camera,5,4,3,take a photo from camera,3,4,2
CAMERA,"Open the application; press ""Start""; and point the camera.",take photo with your camera,4,4,4,choose photo from device gallery you can take pictures with with camera device camera,3,2,4,take the camera or take a photo,4,4,4
CAMERA,Capture picture with camera; Calibrate; Measure in different modes ,take camera to take the camera,4,2,4,this app access device camera,4,4,4,take camera to take the camera,4,2,4
CAMERA,Select photo from your phone gallery or take photo by using the camera,get camera device of your camera,3,3,2,take photo with your camera,5,4,2,get camera device of your camera,3,3,2
CAMERA,Take photos; selfies; portrait using device camera. ,the application can use camera and camera,3,3,5,take photo with your camera or take from gallery,2,4,5,the application can use camera and camera,3,3,5
CAMERA,Open camera to have a live chat with your friends.,the app use camera permission,4,4,4,take pipctures from gallery or take from camera,3,5,4,the app use camera permission,4,4,4
CAMERA,Use camera and scan QR code.,take camera to take the camera,2,2,5,the app uses camera permission to start video,5,5,4,take a photo from camera,3,4,5
CAMERA,This app is using the device camera to take photographs and add colors; filters and effects,take photo with your camera of your camera,3,2,4,you can scan barcode with camera using camera,5,3,4,take photo with your camera of your camera,3,2,4
CAMERA,Use your camera to take pictures.,the app uses camera permission,5,5,5,take photo with your camera you can add effect filter and save photo to your gallery,4,5,3,take a photo from your gallery or take a photo from camera,4,5,4
CAMERA,Taking picture of your homework using camera device. Upload the photos.,you can use the camera to take pictures,4,5,4,take photo with your camera or take from gallery,4,4,4,you can use the camera to take pictures,4,5,4
CAMERA,Choose your tattoo design; take a picture and check it out inside app gallery.,open camera to open the camera and camera,2,2,3,the app uses camera permission to take pictures,3,5,3,take photos from gallery or take photos from camera,3,4,4
CAMERA,Take pictures using your device camera and apply different effects.,the application can use camera and camera,4,3,4,take photo with your camera,5,4,4,take photos from gallery or take photos from camera,4,3,5
CAMERA,Open camera to scan.,open camera to take photo,3,4,4,take photos with device camera and effects,5,5,4,open camera to take photo,3,4,4
CAMERA,Edit photos from gallery or photos taken from camera.,scan with the camera,2,5,4,you can scan the qr in the app with camera for scanning,4,5,4,scan with the camera,2,5,4
CAMERA,Open camera and Simply scan the barcode of a product.,take photo with your camera,2,4,4,open camera to take photo and take photo to to gallery,4,2,5,take photo with your camera,2,4,4
CAMERA,Decorate your photos with these incredible frames; choose a photo from the gallery or take a photow ith the camera; then apply the frame ;effects; sticker and text.,get camera device of your camera,3,2,3,this app use camera permission to use camera you can scan barcode with your camera,3,3,4,get camera device of your camera,3,2,3
CAMERA,Whether you use your front or back camera; you can shoot the best pictures and make them even better.,take photo with your camera,2,4,1,take photo with your camera or take from gallery,3,4,2,select a photo from gallery or take a photo with the camera,2,4,4
CAMERA,capture photo from camera or choose from gallery.,the application can use camera and camera,3,3,5,the app will use camera front camera of your device,5,3,4,the application can use camera and camera,3,3,5
CAMERA,Simply open the app and put the camera in front of the focal point of screen; scan the QR code. ,scan with the camera,4,5,3,take photo with your camera or take from gallery,4,4,4,scan the camera to scan qr code,4,4,3
CAMERA,Use camera to scan QR code.,you can scan qr code using camera,5,5,5,this app use camera permission you can open camera scan qr code or barcode,5,4,4,scan code and scan barcode,4,4,5
CAMERA,QR code reader is designed with the permission of the camera to scan.,you can use the picture with your camera will be a photo as image you like,3,2,4,you can scan qr code using camera,5,4,4,scan the camera and barcode to scan,4,2,4
CAMERA,You can have video chat with your friends and family members.,this application use camera of your camera,2,4,4,this app uses camera to scan qr code or barcode with camera,5,4,5,this application use camera of your camera,2,4,4
CAMERA,QR code reader is designed with the permission of the camera to scan QR code.,the app can use camera permission,3,4,3,app will use camera permission you use camera start video chat,3,2,4,the app can use camera permission,3,4,3
CAMERA,Scan product QR code or barcode using camera on your phone.,take camera to take the camera,3,2,4,open camera of your camera you can use scan qr code or barcode,5,2,5,take the app with camera or take a photo,3,2,5
CAMERA,you turn on the app then watch QR code or Barcode by camera,this application uses camera permission,3,5,2,access device camera you can use scan qr code and barcode,5,4,5,scan barcode and code to the camera,4,4,3
CAMERA,This app requires camera to provide you intruder selfie functionality and take photos of intruders.,take pictures from gallery or to take pictures with camera,5,5,4,this app use camera permission you can open camera scan qr code or barcode,3,4,5,take pictures from gallery or to take pictures with camera,5,5,4
CAMERA,take photos using the phone or tablet camera,the app use your camera of your camera,3,2,5,this app access camera permission to take pictures,4,5,5,the app use your camera of your camera,3,2,5
CAMERA,Make your life simple by scanning cost documents,open camera to take photo,2,4,3,take pictures from gallery or to take pictures with camera,4,4,4,open camera to take photo,2,4,3
CAMERA,The smartphone camera captures a picture through single vision or progressive lenses and the app computes the refractive data in seconds,take pictures with camera and your camera,3,3,1,you can scan the files in your phone gallery,3,5,2,take the app with camera or take a photo,3,4,2
CAMERA,Go ahead; take a Picture alone or accompanied and place within the selected background ,this app uses camera permission,2,5,1,take picture with camera,3,4,1,this app uses camera permission,2,5,1
CAMERA,Quickly measure the heights of buildings; trees; stomp rocket flights; etc; by first pointing the camera at the objects ,take photo or video with camera,3,4,3,open camera to take pictures,2,5,3,take photo or video with camera,3,4,3
CAMERA,With LiveTrip Traveller you can send live messages and photos during every journey via 3G/4G/WIFI,this application can use camera of your camera,3,3,4,this app use camera permission to use camera,3,3,4,this application can use camera of your camera,3,3,4
CAMERA,Barcode scanner,take camera to take the camera,2,1,2,take photo or video with camera,4,4,3,scan code and scan barcode,5,4,3
CAMERA,Use our app to scan the barcode and order from your phone,scan the camera to scan qr code,3,3,4,this app use camera to scan qr code or barcode,4,5,5,take camera to take the camera,2,3,4
CAMERA,Use our app to scan the barcode and order from your phone,camera access,3,2,3,you can scan qr code or barcode with camera,4,5,4,take camera to take the camera,3,2,4
CAMERA,Signature and image capture Bar codes,the app uses camera permission,3,5,5,you can scan the qr code with your phone,3,5,4,the app uses camera permission,3,5,5
CAMERA,scan functionality for QR-codes; scan QR-Codes on the visitor badges and import this data in your contacts ,open camera you can use camera to scan,2,4,2,the app uses camera permission to take photo,4,4,2,scan the camera and barcode to scan,3,3,2
CAMERA,Create a phenomenal collage out of your private photos If you are a person who takes a lot of pictures and likes making selfies,you can use the picture with your camera will be a photo as image you like,3,3,4,scan the qr code in your phone,3,4,3,select a photo from gallery or take a photo with the camera,3,5,4
CAMERA,Start scanning your tickets today with ScanFastInstall the app to turn your Android device into a fully functional ticket scanneryou'll be ready to verify barcodes on all types of tickets for your events,the app uses camera of your camera,2,3,3,the app use use your camera,3,3,4,scan the barcode to your camera,3,2,4
CAMERA,Voice and video calls to mobile devices and computers,the app uses camera permission,3,4,4,the app uses camera permission,5,4,4,the app uses camera permission,3,4,4
CAMERA,Bring LumiSpa to life with this cool augmented reality appscan a LumiSpa AR image; and watch as a 3D projection of the new ageTry snapping photos or recording video of you ?'?using?'? your new digital device?'?all in the app!,open camera to take photo,2,4,1,this app uses camera permission to use camera for video call,2,5,1,take the app with camera or take a photo,2,4,1
CAMERA,Take new photos of receipts or choose existing photos,open camera to take photo,4,4,4,access your camera to take photo or video,5,4,5,open camera to take photo,4,4,4
CAMERA,Anarkali Dress Photo Suit is photography application to set different Anarkali Dress on your face by live capturing OR per-captured photos,the app uses camera of your camera,3,3,3,open camera to take photo or select photo from phone gallery,3,4,4,the app uses camera of your camera,3,3,3
CAMERA,you can record this lecture or take some pictures or even adding notes or taking some videos,take pictures with device camera and camera,3,3,4,the app uses camera of your camera,4,3,4,take pictures with device camera and camera,3,3,4
CAMERA,Users have one identify across all services; voice; video and Instant Messaging & PresenceVoice and video calls are enhanced with the highest quality voice ,camera access,3,2,3,take photo or video using camera of your device,3,4,3,camera access,3,2,3
CAMERA,Automatic scan of voucher's QR code,scan the camera,3,2,4,you can use your camera to start video call,4,5,4,scan the camera and barcode to scan,4,3,5
CAMERA,Login via QR CodeLogin effortlessly by scanning the QR code,the app use use the camera permission,2,3,4,use camera to scan qr code or barcode,3,5,4,the app use use the camera permission,2,3,4
CAMERA,Flashlight on call is a free to download smart app which will blink flash light on callEven when your mobile mobile is in silent mode you will be intimated about a call through flashlight blink by using this flashlight on call,camera access,3,4,3,the app use use the camera permission,4,2,3,camera access,3,4,3
CAMERA,Take or upload a picture of a receipt and submit for a new or existing claim,camera access,2,4,1,access camera of your device camera to use flash light of your camera,3,4,4,select a photo from gallery or take a photo with the camera,2,4,4
CAMERA,Place it over photo from gallery or shot a new one,open camera to take picture or video,2,4,4,take pictures using device camera,4,4,2,open camera to take picture or video,2,4,4
CAMERA,take a photo or select from image gallery,take pictures with camera and camera,3,2,4,take pictures using device camera or choose from gallery,5,5,5,take pictures with camera and camera,3,2,4
CAMERA,AR Christmas app lets you experience the season of love through Augmented RealityIt makes the traditional Christmas card comes alive,this app uses camera permission to use camera,3,4,3,take photo selfie with the camera of your camera and you can take image from gallery,3,3,4,this app uses camera permission to use camera,3,4,3
CAMERA,The app allows you the parent our caregiver to capture imagesYou simply take a picture of an object; place; or person and apply the appropriate text ,take pictures with camera and your camera,3,3,1,this app uses camera permission to use camera,3,3,1,take pictures with camera and your camera,3,3,1
CAMERA,Collage Art brings you a variety of awesome features to help you create beautiful works of art from your photosUse a wide range of features and effects to spice up your picturesAdd emoji face stickers; love stickers; friendship stickers and more! ,you can can take photos using camera,2,3,1,take pictures using device camera or choose from gallery,3,4,1,you can can take photos using camera,2,3,1
CAMERA,QR code scanner and passcode features to easily connect with new communities and events,the application use contact permission,1,4,3,take pictures with your device camera,3,4,4,the application use contact permission,1,4,3
CAMERA,You can make a video call for free with the most used face call apps such as Whatsapp; Messenger; Skype; Bigo Live; Imo; Kik; Tango; Viber; etc ,this app uses camera permission,3,5,1,you can use camera camera to scan qr code,3,3,1,this app uses camera permission,3,5,1
CAMERA,also allows you to snap a photo to add to your service request,you can use camera to take pictures,4,5,4,this app uses camera permission,4,5,3,take the app with camera or take a photo,4,3,4
CAMERA,You simply snap a picture; enter a few details and you?'?re doneJust snap a picture and sell it on Pxsell ,open camera to take picture or video,2,4,1,the app uses camera permission to take a picture,3,5,2,take the camera or take a photo,2,3,1
CAMERA,QR code verification tool for Folio,use camera to use you can scan qr code using camera,4,3,3,take pictures with device camera and camera,4,2,5,use camera to use you can scan qr code using camera,4,3,3
CAMERA,Deploy services on new computers by simply scanning a QR code with this app on the local computer,you can use camera to scan the camera using your camera,2,4,3,use camera to use you can scan qr code using camera,4,3,3,scan the camera and barcode to scan,2,3,2
CAMERA,Take a beautiful selfie of you or Choose a photo of anyone else you want from gallery,open camera to take photo,4,4,3,open camera you can use use to scan qr code or barcode,5,2,4,open camera to take photo,4,4,3
CAMERA,20+ well-designed video styles for you to edit and record unique moment,you can use the picture with your camera will be a photo as image you like,3,3,4,take photo or selfie with camera or select photo from your phone gallery,3,5,5,select a photo from gallery or take a photo with the camera,3,5,5
CAMERA,The app allows you to scan a QR code that matches a label for your business,scan the camera to scan qr code,4,3,2,this app uses camera permission,4,5,1,scan the camera to scan qr code,4,3,2
CAMERA,KalTicket Pro allows your ticket salesperson to scan tickets with QR code at the entrance of cinemas or theaters,open camera you can use camera to scan,4,4,4,open camera you can can scan qr code and barcode using camera of camera,4,2,4,open camera you can use camera to scan,4,4,4
CAMERA,It is an easy and fun way to enhance your personal photos and Changer yourself in dancer,the app uses camera permission,3,5,3,can scan qr code with the the camera,2,3,4,the app uses camera permission,3,5,3
CAMERA,Transcribe written notes ?'? from a photo of your padCreate Outlook contacts ?'? from photos of business cardsDo expense reports ?'? from photos of receipts and a spoken description of the tripEnter records in a database ?'? from a photo of a form,camera access,2,4,1,save photo to gallery,2,4,1,take photos from gallery or take photos from camera,2,4,1
CAMERA,Even better; its high-speed HD video and audio chats bring more life into your conversations with your friend(s) ,the application uses camera permission,2,5,1,this app uses camera permission to take photo,4,4,2,the application uses camera permission,2,5,1
CAMERA,Upload photos,the app uses camera permission,2,5,2,start video chat using device camera of your camera,2,3,1,the app uses camera permission,2,5,2
CAMERA,Augmented reality is about to get augmented,take camera to take the camera,2,1,5,this app uses camera permission to take photo,3,4,5,take photos from gallery or take photos from camera,3,4,4
CAMERA,We also collect images; signatures; audio; dates and times; QR codes as well as many advanced feature rich enhancements that are being added by constant development ,this app access to your device camera,2,4,1,access device camera to activate,3,4,1,this app access to your device camera,2,4,1
CAMERA,Type or scan a VIN in order to stock in off lease inventory,you can open camera open the camera to scan,4,2,4,this app access to your device camera,3,4,4,you can open camera open the camera to scan,4,2,4
CAMERA,you?'?ll be connected through a secure; video chat with a licensed; local doctor ,camera access,2,4,1,scan the qr code or barcode with device camera,4,4,4,take the camera or take a photo,2,3,2
CAMERA,Modify flashlight notification app for android with deferent colors white; purple; pink; Yellow; green; blue; redNow available flashlight app for sms texting and calling ,the app uses camera permission,2,5,1,the app need camera permission to use use video chat,2,3,2,the app uses camera permission,2,5,1
CAMERA,If you love taking pictures with your children and you want to do something special with themChoose a photograph from your device or take a new one,take the camera to take picture,4,4,3,the app uses camera permission to use flash light of your camera,4,4,4,take the camera to take picture,4,4,3
CAMERA,Parked Car Finder QR Code and VIN Barcode scanner New and pre-owned inventory,get camera device of your camera,3,3,4,take photo with camera or take from phone gallery,4,4,4,get camera device of your camera,3,3,4
CAMERA,Take or upload pictures to report and prove issues,take photo with the camera of your device,3,4,5,this app uses camera to scan qr code or barcode with camera camera camera,3,2,4,take photo with the camera of your device,3,4,5
CAMERA,show your creative side of taking the pictures with our quality frames,open camera to take photo,4,4,4,take photo with camera or take from phone gallery,3,4,4,take a photo from camera,4,4,4
CAMERA,Search by scanning serial bar code,scan camera to scan the barcode,4,4,5,open camera to take pictures you can set frames to photo,5,5,4,scan code and scan barcode,5,5,5
CAMERA,Join quests and compete with other players to photograph animals and plants in the wild,camera access,3,4,3,open open camera to scan qr code and barcode using camera,2,2,4,take the camera or take a photo,3,4,4
CAMERA,SCAN: Featuring NFC and QR code scanning with full traceability of the parts from manufacturing,scan the camera,3,5,1,this app uses camera camera permission,3,3,2,scan the camera,3,5,1
CAMERA,[AR Features]Summon your Heroes to the real world!,take camera to take the camera,2,2,4,the app use camera use camera permission,3,2,5,take camera to take the camera,2,2,4
CAMERA,Recognition of images to access promotions,open camera to take picture or video,2,4,5,the app use device camera,2,4,4,select a photo from gallery or take a photo with the camera,2,4,2
CAMERA,scan barcodes of inspected products to trace them back take and upload photos to integrate them into your inspection reports,scan camera,3,2,3,you can use camera and scan saved photo from phone gallery,4,4,4,scan code and scan barcode,4,4,3
CAMERA,Android Enterprise Enrollment using QR Code; NFC or HashcodeProprietary Non-GMS Enrollment (QR-code based) ,get camera device of your camera,2,3,2,the app use camera you can scan barcode with camera you can can open camera to take photo,3,3,4,get camera device of your camera,2,3,2
CAMERA,To place a business-quality video or voice-only call into a business from your Android deviceIt's that easy to start a face-to-face interaction,the app use camera permission,3,4,3,you can scan qr code and barcode with camera,3,4,4,the app use camera permission,3,4,3
CAMERA,Record video and take pictures as a dashcam,take pictures and videos with device camera,4,4,5,the app use camera camera permission,3,3,4,take pictures and videos with device camera,4,4,5
